COUNTY_ID,COUNTY,TOWN_ID,TOWN,NIGHT_WORK,DAY_WORK(0700~1300),DAY_WORK(1300~1900),DAY_WORK,NIGHT_WEEKEND,DAY_WEEKEND(0700~1300),DAY_WEEKEND(1300~1900),DAY_WEEKEND,MORNING_WORK,MIDDAY_WORK,AFTERNOON_WORK,EVENING_WORK,MORNING_WEEKEND,MIDDAY_WEEKEND,AFTERNOON_WEEKEND,EVENING_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日夜間停留人數,平日日間上午人數,平日日間下午人數,平日日間活動人數,假日夜間停留人數,假日日間上午人數,假日日間下午人數,假日日間活動人數,平日早晨旅次,平日中午旅次,平日午後旅次,平日晚上旅次,假日早晨旅次,假日中午旅次,假日午後旅次,假日晚上旅次,資料時間
65000,新北市,65000010,板橋區,571963,472223,460965,464101,570948,545097,536060,541426,1590899,1336421,1393080,2264136,1249712,1620478,1650605,2212445,"112Y11M"
65000,新北市,65000020,三重區,425020,356420,339148,346194,423029,399859,377180,390770,1209734,954617,991068,1564975,950616,1136302,1109669,1464777,"112Y11M"
65000,新北市,65000030,中和區,461867,406713,390819,397325,460394,440463,419172,432783,1274516,1050299,1080009,1659133,1000514,1171138,1163968,1480962,"112Y11M"
65000,新北市,65000040,永和區,225926,172327,160600,165003,225638,214970,201417,209626,573115,446936,460746,794263,459274,578569,555140,752223,"112Y11M"
65000,新北市,65000050,新莊區,438175,378500,371788,374258,436655,418687,413650,417962,1215689,990627,1026618,1647970,945090,1159155,1148951,1492343,"112Y11M"
65000,新北市,65000060,新店區,336985,310727,300073,305033,335622,326851,317118,323247,934910,808371,836814,1209534,730679,911562,923944,1120341,"112Y11M"
65000,新北市,65000070,樹林區,186549,178809,175251,176578,187333,181043,176829,179473,575796,469967,490728,707626,446659,508396,505203,666085,"112Y11M"
65000,新北市,65000080,鶯歌區,94412,86693,85232,86832,90389,85833,84613,85085,269107,210035,225922,327613,217970,257042,265066,328155,"112Y11M"
65000,新北市,65000090,三峽區,117393,103204,102237,102012,118267,116318,113858,115067,325321,294208,306341,414884,285149,377776,381377,424538,"112Y11M"
65000,新北市,65000100,淡水區,235495,201194,192712,196325,234249,224941,215047,221071,611672,560924,590486,815799,493784,671942,713097,819419,"112Y11M"
65000,新北市,65000110,汐止區,246217,222675,212623,216959,245608,231814,218739,227518,713230,548879,555324,882796,538234,616354,604883,763078,"112Y11M"
65000,新北市,65000120,瑞芳區,34663,36539,43108,39103,35163,37777,43370,40075,85029,103624,109609,108450,81536,141374,152257,131924,"112Y11M"
65000,新北市,65000130,土城區,237243,210329,203848,206153,237555,227181,216881,223005,723628,567920,595260,910773,570529,652738,647738,838619,"112Y11M"
65000,新北市,65000140,蘆洲區,206853,151814,145234,147374,207508,189635,180570,186269,489831,382838,399874,660741,420086,491672,475622,636027,"112Y11M"
65000,新北市,65000150,五股區,106742,121809,118780,120523,105116,105548,101694,104644,415234,328594,357368,482353,285991,333121,360665,438405,"112Y11M"
65000,新北市,65000160,泰山區,93664,87562,84668,85798,92279,90077,84564,87854,332700,262620,285849,424868,239993,287590,295907,383302,"112Y11M"
65000,新北市,65000170,林口區,141826,131674,131046,131771,141559,143306,143655,143662,395367,358279,373752,516352,305422,414286,415604,486930,"112Y11M"
65000,新北市,65000180,深坑區,30747,27898,26236,27089,30724,28642,26945,28080,77392,66480,67788,91849,63771,83111,84939,90599,"112Y11M"
65000,新北市,65000190,石碇區,5544,6433,6590,6561,5677,7105,7329,7201,34623,44693,48506,49699,54945,71943,83024,79040,"112Y11M"
65000,新北市,65000200,坪林區,2921,3599,3420,3446,3463,4783,4996,4779,24311,33769,37993,37459,35901,53715,62631,59552,"112Y11M"
65000,新北市,65000210,三芝區,22144,19419,19412,19438,21623,20574,20751,20667,54498,54199,54569,63136,50652,71244,71130,68551,"112Y11M"
65000,新北市,65000220,石門區,5193,5613,5630,5676,5143,5720,5896,5798,14212,18299,20500,16025,13323,28360,33222,21554,"112Y11M"
65000,新北市,65000230,八里區,47692,46284,45570,45981,47577,46402,45266,46026,147199,131816,142261,174643,120589,160414,179154,181887,"112Y11M"
65000,新北市,65000240,平溪區,3209,6332,11059,9229,3056,5783,9110,7594,5901,13967,16123,8159,8153,24909,27793,12413,"112Y11M"
65000,新北市,65000250,雙溪區,4404,4460,4472,4456,4801,5490,5546,5465,15509,20850,21181,20168,21112,33469,34643,30184,"112Y11M"
65000,新北市,65000260,貢寮區,5798,6223,6163,6165,6645,7914,7835,7726,19368,31779,30077,23528,24746,57177,55684,36722,"112Y11M"
65000,新北市,65000270,金山區,14773,14936,15020,15061,15972,17331,17981,17531,37241,49580,49995,45564,39008,77248,81358,60859,"112Y11M"
65000,新北市,65000280,萬里區,12181,13517,13201,13185,13370,15310,15140,14797,32762,48799,48036,39440,33908,79948,80691,58170,"112Y11M"
65000,新北市,65000290,烏來區,3229,3963,4160,3953,3595,4814,5361,4759,6398,12070,11927,8809,7931,20419,22029,14799,"112Y11M"
63000,臺北市,63000010,松山區,185022,256114,271339,265864,181661,198550,210281,204187,654035,824115,802123,1110678,415964,663025,672143,850071,"112Y11M"
