縣市,住宅總數_宅,有人經常居住_宅,無人經常居住_宅,偶爾自住_宅,自住以外用途_宅,目前沒有使用_宅,空置率_percent,住戶數_戶,每戶人口,住宅數除以住戶數
總計,8993149,6895887,2097262,488532,435122,1173608,13.05,8086905,2.9,1.112
新北市,1676933,1303213,373720,75354,78778,219588,13.09,1532931,2.8,1.094
臺北市,950496,754585,195911,49051,53059,93801,9.87,938041,2.8,1.013
桃園市,867883,685312,182571,37153,30303,115115,13.26,769641,3.2,1.128
臺中市,1073182,813500,259682,48367,63489,147826,13.77,985957,3.1,1.088
臺南市,712130,561453,150677,31780,33094,85803,12.05,624795,3.0,1.14
高雄市,1107058,866006,241052,56360,51267,133425,12.05,957850,2.9,1.156
基隆市,171191,124236,46955,14182,4290,28483,16.64,140211,2.6,1.221
新竹市,181086,137935,43151,10701,7216,25234,13.93,168545,3.0,1.074
嘉義市,106368,77911,28457,6116,6607,15734,14.79,93487,2.7,1.138
宜蘭縣,188788,122779,66009,15294,12618,38097,20.18,142492,3.0,1.325
新竹縣,209074,158504,50570,11950,8056,30564,14.62,198281,3.2,1.054
苗栗縣,190106,145723,44383,11626,7289,25468,13.4,167866,3.1,1.132
彰化縣,420090,313698,106392,27633,25013,53746,12.79,359748,3.3,1.168
南投縣,173230,130056,43174,11717,6418,25039,14.45,153677,2.8,1.127
雲林縣,227420,165304,62116,21633,10379,30104,13.24,202051,2.9,1.126
嘉義縣,182774,131034,51740,16332,9947,25461,13.93,161076,2.9,1.135
屏東縣,292234,226329,65905,17628,13763,34514,11.81,258661,2.9,1.13
臺東縣,78293,54099,24194,6862,3120,14212,18.15,71989,2.6,1.088
花蓮縣,127365,85131,42234,12583,7419,22232,17.46,108957,2.8,1.169
澎湖縣,31003,21955,9048,3294,1611,4143,13.36,27888,2.9,1.112
金門縣,23405,14928,8477,2608,1227,4642,19.83,20346,3.3,1.15
連江縣,3040,2196,844,308,159,377,12.4,2415,4.9,1.259
