統計年度（民國年）,縣市別,項目,合計（統計數值）,一戶（統計數值）,二戶（統計數值）,三戶（統計數值）,四戶（統計數值）,五戶（統計數值）,六戶（統計數值）,七戶（統計數值）,八戶（統計數值）,九戶（統計數值）,十戶以上（統計數值）
105,總計,個人所有,8743996,7748355,781492,136924,40379,16655,6953,3813,2368,2021,5036
105,總計,營利事業或機關團體所有,169479,100273,29261,11916,6852,4349,2933,2099,1700,1182,8914
105,總計,合計,8913475,7848628,810753,148840,47231,21004,9886,5912,4068,3203,13950
105,新北市,個人所有,1528989,1337884,142786,27040,10304,5237,1752,1097,678,937,1274
105,新北市,營利事業或機關團體所有,23647,13647,4127,1816,1103,639,414,258,243,174,1226
105,新北市,合計,1552636,1351531,146913,28856,11407,5876,2166,1355,921,1111,2500
105,臺北市,個人所有,925635,806778,89701,16930,6533,2489,1181,639,394,253,737
105,臺北市,營利事業或機關團體所有,25626,13840,4955,1913,1142,696,493,356,281,201,1749
105,臺北市,合計,951261,820618,94656,18843,7675,3185,1674,995,675,454,2486
105,桃園市,個人所有,795558,704695,72190,12205,3108,1374,627,330,232,154,643
105,桃園市,營利事業或機關團體所有,14238,8003,2472,1067,606,434,286,224,167,118,861
105,桃園市,合計,809796,712698,74662,13272,3714,1808,913,554,399,272,1504
105,臺中市,個人所有,1003309,893229,85469,14567,4701,2216,1043,612,360,247,865
105,臺中市,營利事業或機關團體所有,21263,13179,3716,1355,768,495,334,245,184,130,857
105,臺中市,合計,1024572,906408,89185,15922,5469,2711,1377,857,544,377,1722
105,臺南市,個人所有,719736,639278,63817,12319,2601,789,354,166,109,77,226
105,臺南市,營利事業或機關團體所有,14942,9331,2529,987,491,338,235,155,123,92,661
105,臺南市,合計,734678,648609,66346,13306,3092,1127,589,321,232,169,887
105,高雄市,個人所有,1057207,977654,65505,9143,2526,984,471,267,180,112,365
105,高雄市,營利事業或機關團體所有,19387,12056,3099,1253,704,491,298,237,173,117,959
105,高雄市,合計,1076594,989710,68604,10396,3230,1475,769,504,353,229,1324
105,宜蘭縣,個人所有,181357,163123,14862,2416,551,198,77,47,19,14,50
105,宜蘭縣,營利事業或機關團體所有,3856,2310,674,240,157,79,68,60,38,13,217
105,宜蘭縣,合計,185213,165433,15536,2656,708,277,145,107,57,27,267
105,新竹縣,個人所有,208903,184735,20090,2866,610,252,129,75,41,27,78
105,新竹縣,營利事業或機關團體所有,3675,2011,632,299,164,112,63,55,47,29,263
105,新竹縣,合計,212578,186746,20722,3165,774,364,192,130,88,56,341
105,苗栗縣,個人所有,196587,175754,17145,2660,598,213,86,45,28,8,50
105,苗栗縣,營利事業或機關團體所有,3912,2382,596,287,182,88,72,44,40,27,194
105,苗栗縣,合計,200499,178136,17741,2947,780,301,158,89,68,35,244
105,彰化縣,個人所有,469196,401487,53254,10547,2505,782,267,113,72,44,125
105,彰化縣,營利事業或機關團體所有,7756,4929,1352,537,264,178,98,82,60,45,211
105,彰化縣,合計,476952,406416,54606,11084,2769,960,365,195,132,89,336
105,南投縣,個人所有,179095,158301,17015,2834,598,169,75,32,26,10,35
105,南投縣,營利事業或機關團體所有,3759,2278,624,285,149,87,65,48,40,25,158
105,南投縣,合計,182854,160579,17639,3119,747,256,140,80,66,35,193
105,雲林縣,個人所有,251205,219672,25996,4245,801,236,101,47,30,16,61
105,雲林縣,營利事業或機關團體所有,4244,2588,707,289,169,99,80,55,43,27,187
105,雲林縣,合計,255449,222260,26703,4534,970,335,181,102,73,43,248
105,嘉義縣,個人所有,202665,176481,21064,3677,1016,199,64,33,26,15,90
105,嘉義縣,營利事業或機關團體所有,3487,2044,558,248,138,89,67,51,42,38,212
105,嘉義縣,合計,206152,178525,21622,3925,1154,288,131,84,68,53,302
105,屏東縣,個人所有,296907,265506,26543,3721,701,186,95,40,20,19,76
105,屏東縣,營利事業或機關團體所有,5538,3644,888,344,166,132,78,38,44,29,175
105,屏東縣,合計,302445,269150,27431,4065,867,318,173,78,64,48,251
105,臺東縣,個人所有,88526,78358,8462,1258,240,105,32,20,10,8,33
105,臺東縣,營利事業或機關團體所有,2648,1417,444,187,114,74,57,41,33,27,254
105,臺東縣,合計,91174,79775,8906,1445,354,179,89,61,43,35,287
105,花蓮縣,個人所有,132686,119406,10797,1684,426,163,68,41,33,15,53
105,花蓮縣,營利事業或機關團體所有,3307,1931,531,219,166,96,72,40,34,23,195
105,花蓮縣,合計,135993,121337,11328,1903,592,259,140,81,67,38,248
105,澎湖縣,個人所有,32051,28791,2856,316,60,12,12,2,0,1,1
105,澎湖縣,營利事業或機關團體所有,858,503,167,65,42,25,14,7,7,4,24
105,澎湖縣,合計,32909,29294,3023,381,102,37,26,9,7,5,25
105,基隆市,個人所有,165995,144575,16859,2683,1089,391,245,50,28,16,59
105,基隆市,營利事業或機關團體所有,2108,1229,319,157,82,66,43,32,20,19,141
105,基隆市,合計,168103,145804,17178,2840,1171,457,288,82,48,35,200
105,新竹市,個人所有,174295,154014,14839,3775,836,385,143,98,43,34,128
105,新竹市,營利事業或機關團體所有,2885,1611,475,184,144,71,60,44,42,31,223
105,新竹市,合計,177180,155625,15314,3959,980,456,203,142,85,65,351
105,嘉義市,個人所有,113995,101435,10125,1584,441,191,88,41,26,11,53
105,嘉義市,營利事業或機關團體所有,1748,992,302,135,75,43,31,20,27,10,113
105,嘉義市,合計,115743,102427,10427,1719,516,234,119,61,53,21,166
105,金門縣,個人所有,17950,15440,1812,406,124,83,40,14,7,3,21
105,金門縣,營利事業或機關團體所有,469,279,70,42,22,12,4,4,9,1,26
105,金門縣,合計,18419,15719,1882,448,146,95,44,18,16,4,47
105,連江縣,個人所有,2149,1759,305,48,10,1,3,4,6,0,13
105,連江縣,營利事業或機關團體所有,126,69,24,7,4,5,1,3,3,2,8
105,連江縣,合計,2275,1828,329,55,14,6,4,7,9,2,21
