統計年度（民國年）,縣市別,項目,合計（統計數值）,一戶（統計數值）,二戶（統計數值）,三戶（統計數值）,四戶（統計數值）,五戶（統計數值）,六戶（統計數值）,七戶（統計數值）,八戶（統計數值）,九戶（統計數值）,十戶以上（統計數值）
103,總計,個人所有,8294890,7402521,700310,121778,36732,14826,6348,3464,2313,1911,4687
103,總計,營利事業或機關團體所有,160203,95561,27467,11256,6396,4031,2749,1994,1567,1145,8037
103,總計,合計,8455093,7498082,727777,133034,43128,18857,9097,5458,3880,3056,12724
103,新北市,個人所有,1489114,1316480,128805,24217,9726,4400,1666,1029,661,909,1221
103,新北市,營利事業或機關團體所有,22475,13046,3897,1788,1039,592,389,254,218,175,1077
103,新北市,合計,1511589,1329526,132702,26005,10765,4992,2055,1283,879,1084,2298
103,臺北市,個人所有,892957,785156,81310,15198,5946,2358,1091,553,422,232,691
103,臺北市,營利事業或機關團體所有,24098,13161,4539,1795,1062,666,464,330,277,199,1605
103,臺北市,合計,917055,798317,83564,15553,6053,2335,1133,561,389,191,1682
103,臺中市,個人所有,961141,858726,78986,13904,4495,2051,979,548,361,239,852
103,臺中市,營利事業或機關團體所有,19733,12354,3447,1274,691,436,280,212,150,116,773
103,臺中市,合計,980874,871080,82433,15178,5186,2487,1259,760,511,355,1625
103,臺南市,個人所有,666248,595953,56691,9677,2407,702,316,152,104,50,196
103,臺南市,營利事業或機關團體所有,14196,8851,2405,923,465,311,229,159,122,98,633
103,臺南市,合計,680444,604804,59096,10600,2872,1013,545,311,226,148,829
103,高雄市,個人所有,1008809,938297,57809,8265,2276,912,408,244,157,104,337
103,高雄市,營利事業或機關團體所有,18536,11612,2967,1191,669,450,293,230,164,114,846
103,高雄市,合計,1027345,949909,60776,9456,2945,1362,701,474,321,218,1183
103,宜蘭縣,個人所有,174596,157113,14203,2334,547,193,73,50,19,16,48
103,宜蘭縣,營利事業或機關團體所有,3667,2228,610,236,143,83,60,49,32,23,203
103,宜蘭縣,合計,178263,159341,14813,2570,690,276,133,99,51,39,251
103,桃園縣,個人所有,756946,673737,65490,11554,2961,1342,590,318,227,144,583
103,桃園縣,營利事業或機關團體所有,13176,7488,2280,990,574,414,270,209,141,108,702
103,桃園縣,合計,770122,681225,67770,12544,3535,1756,860,527,368,252,1285
103,新竹縣,個人所有,185855,165532,17394,1960,493,208,103,47,39,16,63
103,新竹縣,營利事業或機關團體所有,3313,1872,555,262,153,91,56,50,36,25,213
103,新竹縣,合計,189168,167404,17949,2222,646,299,159,97,75,41,276
103,苗栗縣,個人所有,187971,168283,16300,2389,579,195,91,50,22,11,51
103,苗栗縣,營利事業或機關團體所有,3735,2317,595,260,165,84,70,41,32,26,145
103,苗栗縣,合計,191706,170600,16895,2649,744,279,161,91,54,37,196
103,彰化縣,個人所有,420859,366461,43152,8127,1965,623,223,104,60,37,107
103,彰化縣,營利事業或機關團體所有,7363,4739,1264,497,243,169,86,82,62,43,178
103,彰化縣,合計,428222,371200,44416,8624,2208,792,309,186,122,80,285
103,南投縣,個人所有,167261,147666,15928,2766,580,167,62,35,15,10,32
103,南投縣,營利事業或機關團體所有,3641,2221,600,263,144,91,61,46,36,26,153
103,南投縣,合計,170902,149887,16528,3029,724,258,123,81,51,36,185
103,雲林縣,個人所有,243596,212866,25255,4200,778,242,102,49,25,19,60
103,雲林縣,營利事業或機關團體所有,4018,2468,675,271,159,87,74,51,37,29,167
103,雲林縣,合計,247614,215334,25930,4471,937,329,176,100,62,48,227
103,嘉義縣,個人所有,189035,164663,19659,3669,658,177,70,27,20,13,79
103,嘉義縣,營利事業或機關團體所有,3372,1964,551,234,131,85,68,48,41,36,214
103,嘉義縣,合計,192407,166627,20210,3903,789,262,138,75,61,49,293
