COUNTY_ID,COUNTY,NIGHT_WORK,NIGHT_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,平日夜間停留人數,假日夜間停留人數,資料時間
65000,新北市,4404882,4389998,109Y11M
63000,臺北市,2789958,2747668,109Y11M
68000,桃園市,2526697,2459045,109Y11M
66000,臺中市,3083970,3052863,109Y11M
67000,臺南市,1835928,1839022,109Y11M
64000,高雄市,2576693,2575650,109Y11M
10002,宜蘭縣,441203,468078,109Y11M
10004,新竹縣,656007,658522,109Y11M
10005,苗栗縣,505463,519930,109Y11M
10007,彰化縣,1068303,1091186,109Y11M
10008,南投縣,426734,454395,109Y11M
10009,雲林縣,565293,570283,109Y11M
10010,嘉義縣,440515,455221,109Y11M
10013,屏東縣,689391,710484,109Y11M
10014,臺東縣,192086,197914,109Y11M
10015,花蓮縣,320650,332256,109Y11M
10016,澎湖縣,70549,70009,109Y11M
10017,基隆市,355821,360605,109Y11M
10018,新竹市,549601,540378,109Y11M
10020,嘉義市,257530,262138,109Y11M
9020,金門縣,98129,99452,109Y11M
9007,連江縣,12511,12821,109Y11M
