COUNTY_ID,COUNTY,DAY_WORK(7:00~13:00),DAY_WORK(13:00~19:00),DAY_WORK,DAY_WEEKEND(7:00~13:00),DAY_WEEKEND(13:00~19:00),DAY_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,平日上午活動人數,平日下午活動人數,平日日間活動人數,假日上午活動人數,假日下午活動人數,假日日間活動人數,資料時間
65000,新北市,3828955,3708033,3760027,4233496,4087167,4193773,109Y11M
63000,臺北市,3424948,3563844,3508241,2886879,3067448,2953925,109Y11M
68000,桃園市,2538817,2534858,2536854,2457750,2469675,2466701,109Y11M
66000,臺中市,3097381,3092610,3097786,3034869,3022051,3033950,109Y11M
67000,臺南市,1849314,1846605,1846887,1843679,1832836,1837561,109Y11M
64000,高雄市,2574896,2572996,2573879,2561834,2564244,2563361,109Y11M
10002,宜蘭縣,429801,431568,429706,470963,469260,465119,109Y11M
10004,新竹縣,672505,667973,669470,667690,659887,664304,109Y11M
10005,苗栗縣,487130,485434,485570,528448,520549,522946,109Y11M
10007,彰化縣,1049600,1050004,1049606,1096873,1092149,1097891,109Y11M
10008,南投縣,432678,430430,430064,477733,476173,471206,109Y11M
10009,雲林縣,570400,570334,570360,573148,570827,572544,109Y11M
10010,嘉義縣,435301,434018,434444,464554,463403,461220,109Y11M
10013,屏東縣,666686,669243,667004,715567,716100,713366,109Y11M
10014,臺東縣,190194,190066,190005,197291,195779,195333,109Y11M
10015,花蓮縣,318241,318562,317411,331573,331336,328566,109Y11M
10016,澎湖縣,68245,69080,69149,68804,69423,69043,109Y11M
10017,基隆市,297902,291392,293735,348503,340866,346262,109Y11M
10018,新竹市,570467,575181,572417,543734,557890,548152,109Y11M
10020,嘉義市,256316,257297,257060,255554,251435,253886,109Y11M
9020,金門縣,96394,96541,96478,97261,97359,96983,109Y11M
9007,連江縣,11742,11846,11762,11708,12057,11823,109Y11M
