COUNTY_ID,COUNTY,DAY_WORK_0700~1300,DAY_WORK_1300~1900,DAY_WORK,DAY_WEEKEND_0700~1300,DAY_WEEKEND_1300~1900,DAY_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,平日日間上午人數,平日日間下午人數,平日日間活動人數,假日日間上午人數,假日日間下午人數,假日日間活動人數,資料時間
65000,新北市,3917475,3792000,3845339,4357067,4119488,4314763,109Y11M
63000,臺北市,3342938,3482060,3426709,2764466,3053498,2830291,109Y11M
68000,桃園市,2544659,2540180,2541972,2474289,2491165,2482641,109Y11M
66000,臺中市,3073192,3069997,3074106,3005761,3009190,3005144,109Y11M
67000,臺南市,1851526,1849970,1850041,1837855,1837194,1832854,109Y11M
64000,高雄市,2668455,2666903,2668059,2649023,2663220,2651275,109Y11M
10002,宜蘭縣,426710,428416,426571,467179,461192,461771,109Y11M
10004,新竹縣,645099,640550,641828,651719,647708,648501,109Y11M
10005,苗栗縣,495056,493952,493776,538722,521091,533150,109Y11M
10007,彰化縣,999780,1000783,1000073,1054262,1041346,1055615,109Y11M
10008,南投縣,439627,437189,437055,487579,476650,481210,109Y11M
10009,雲林縣,540417,540737,540492,546696,543056,545957,109Y11M
10010,嘉義縣,437075,435942,436480,466494,461353,463758,109Y11M
10013,屏東縣,695662,698828,696427,745809,731525,743961,109Y11M
10014,臺東縣,195658,195578,195470,202561,199423,200652,109Y11M
10015,花蓮縣,327523,327876,326901,340321,338586,337626,109Y11M
10016,澎湖縣,54806,55548,55659,54635,54503,54979,109Y11M
10017,基隆市,310767,304145,306586,364493,343239,362170,109Y11M
10018,新竹市,570040,574443,571919,529440,547958,533639,109Y11M
10020,嘉義市,264324,265414,265113,262062,258894,260478,109Y11M
9020,金門縣,58643,58845,58842,58998,58953,58902,109Y11M
9007,連江縣,8482,8558,8494,8484,8685,8577,109Y11M
