COUNTY_ID,COUNTY,MORNING_WORK,MIDDAY_WORK,AFTERNOON_WORK,EVENING_WORK,MORNING_WEEKEND,MIDDAY_WEEKEND,AFTERNOON_WEEKEND,EVENING_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,平日早晨旅次,平日中午旅次,平日午後旅次,平日晚上旅次,假日早晨旅次,假日中午旅次,假日午後旅次,假日晚上旅次,資料時間
65000,新北市,10284511.41,8918287.6,9006483.28,9804692.81,8766501.62,10318260.43,10212998.84,9418215.79,109Y11M
63000,臺北市,7109127.81,8432508.36,8432755.71,8118225.21,5280778.32,7698035.05,7920404.09,6840720.14,109Y11M
68000,桃園市,5378615.6,5081505.82,5189705.13,5168944.95,4494943.06,5532910.8,5620730.37,5024045.69,109Y11M
66000,臺中市,6764050.31,6647991.06,6781947.04,6870578.9,5799132.24,7181235.71,7356663.43,6679511.57,109Y11M
67000,臺南市,3963064.59,3910969.02,4008063.88,3956241.29,3464568,4344466.5,4449459.65,3981201.53,109Y11M
64000,高雄市,5751041.86,5679883.06,5873371.46,5775527.53,4878469.83,5954713.26,6098213.63,5570972.78,109Y11M
10002,宜蘭縣,820612.54,884594.62,918124.02,792285.82,846875.65,1117919.27,1134634.42,893794.67,109Y11M
10004,新竹縣,1212645.85,1173657.34,1191427.45,1107531.23,1124406.72,1335534.07,1371502.21,1181676.04,109Y11M
10005,苗栗縣,934112.83,912872.42,951256.49,872506.02,968899.18,1194737.98,1264425.33,1056933.96,109Y11M
10007,彰化縣,2203943.54,2110569.6,2166761.19,2110485.15,2018196.98,2448868.57,2522773.25,2181056.12,109Y11M
10008,南投縣,776405.17,840887.51,855041.58,717360.5,828731.05,1145664.25,1173022.88,877683.77,109Y11M
10009,雲林縣,1105479.99,1106259.66,1150228.23,1042132.5,1037810.92,1271014.2,1322802.2,1101577.55,109Y11M
10010,嘉義縣,734515.31,753583.43,777476.7,655719.38,742929.19,950857.48,988927.35,747599.91,109Y11M
10013,屏東縣,1361450.11,1388371.68,1444718.81,1337537.22,1280532.7,1648915.92,1699894.79,1433396.47,109Y11M
10014,臺東縣,289533.92,332855.19,337462.37,273759.51,300570.48,392490.39,393746.24,300458.73,109Y11M
10015,花蓮縣,536693.87,600290.03,611537.14,516241.56,539027.08,690625.25,692356.39,553652.8,109Y11M
10016,澎湖縣,110302.5,118788.19,120856.52,104167.11,102772.41,121002.38,119482.67,99997.27,109Y11M
10017,基隆市,637563.49,568571.44,578417.38,586174.69,570316.67,696587.93,703124.49,607129.88,109Y11M
10018,新竹市,997287.73,1013791.85,1017258.54,985947.27,834137.4,1068331.03,1096901.32,955917.76,109Y11M
10020,嘉義市,477599.29,513240.31,527902.47,513166.9,442648.94,568829.58,578460.05,534880.48,109Y11M
9020,金門縣,120510.5,125821.51,126566.79,102614.41,120275.83,131809.99,132018.33,104540.19,109Y11M
9007,連江縣,12750.77,13152.3,13112.66,10067.09,12984.01,13470.99,13558.62,10389.78,109Y11M
