序次,社宅名稱,戶數,行政區,面積（平方公尺）,興辦主體
1,中路二號社會住宅,212,桃園區,4546.43,桃園市政府
2,八德一號社會住宅,418,八德區,6821.55,桃園市政府
3,八德二號社會住宅,354,八德區,4604.66,桃園市政府
4,中路一號社會住宅,169,桃園區,2722.69,桃園市政府
5,蘆竹二號社會住宅,416,蘆竹區,10282.99,桃園市政府
6,八德三號社會住宅,524,八德區,9860.14,桃園市政府
7,中路三號社會住宅,417,桃園區,6389.36,桃園市政府
8,蘆竹一號社會住宅,114,蘆竹區,2509,桃園市政府
9,中路四號社會住宅,350,桃園區,6391.88,桃園市政府
10,中壢一號社會住宅,957,中壢區,24729.74,桃園市政府
11,平鎮一號社會住宅,64,平鎮區,2389.29,桃園市政府
12,楊梅一號社會住宅(一期),216,楊梅區,13903.14,桃園市政府
13,中壢老小段100地號都市更新事業(中興巷警察宿舍),93,中壢區,3059,桃園市政府
14,東門段208-1地號都市更新事業(東門停車場),70,桃園區,3448,桃園市政府
15,中正段1209地號都市更新事業(正光路警察宿舍),255,桃園區,9154.6,桃園市政府
16,大溪區田心子段(公辦都更),40,大溪區,772,桃園市政府
17,捷運A10站,369,蘆竹區,9436.78,桃園市政府
18,蘆竹區大興段,73,蘆竹區,3971.14,桃園市政府
19,龜山區善捷段,336,龜山區,9452.76,桃園市政府
20,龜山區中興段,100,龜山區,4913.22,桃園市政府
21,北富台新村,220,中壢區,5720.2,桃園市政府
22,捷運A20站,393,中壢區,38879.68,桃園市政府
23,中壢區遠東段(居廣、居敬、篤行五村),350,中壢區,17211,桃園市政府
24,桃園區三民段,120,桃園區,1937.18,桃園市政府
25,八德區茄苳段,100,八德區,1926.11,桃園市政府
26,桃園區桃合段,260,桃園區,5564.25,桃園市政府
27,中壢區青溪段(桃園管理處),80,中壢區,2658.96,桃園市政府
28,桃園段武陵小段183地號都市更新事業(復興路),75,桃園區,2663,桃園市政府
29,中壢區雙嶺段(石門管理處),77,中壢區,1953.18,桃園市政府
30,大溪區仁武段(石門管理處),45,大溪區,1684.71,桃園市政府
31,中壢區內壢段(大江捐贈案),260,中壢區,5439.83,桃園市政府
32,新屋區機六,285,新屋區,6151,桃園市政府
33,平鎮新富段,110,平鎮區,2734.38,桃園市政府
34,捷運A21站,285,中壢區,6576.27,桃園市政府
35,觀音區草漯(草福段),110,觀音區,2556.46,桃園市政府
36,龍岡體育園區中運段235地號,320,中壢區,7207.12,桃園市政府
37,龍岡體育園區中運段50地號,380,中壢區,7919.35,桃園市政府
38,八德區興豐段(公辦都更),160,八德區,10796.12,桃園市政府
39,大園區北園段,160,大園區,3892.45,桃園市政府
40,埔頂營區,350,大溪區,15000,桃園市政府
41,台鐵地下化中路站周邊整體開發計畫案,600,桃園區,14100,桃園市政府
42,中壢區前寮段(龍岡好室),150,中壢區,8423.88,國家住宅及都市更新中心
43,桃園區慈文段(慈文安居),288,桃園區,4790,國家住宅及都市更新中心
44,平鎮區湧星段(湧光安居),239,平鎮區,4651,國家住宅及都市更新中心
45,龜山區樂捷段(樂善安居),790,龜山區,10825,國家住宅及都市更新中心
46,楊梅區金龍段1號(埔心安居A),486,楊梅區,10391.55,國家住宅及都市更新中心
47,龍潭區龍華段(上林好室),140,龍潭區,2769.87,國家住宅及都市更新中心
48,中壢區平寮段(龍安安居),409,中壢區,9066.35,國家住宅及都市更新中心
49,南富台新村(富台安居),310,中壢區,5963.65,國家住宅及都市更新中心
50,中壢區雙嶺段(過嶺安居),220,中壢區,4159.99,國家住宅及都市更新中心
51,中壢區振興段(振興安居),370,中壢區,7162.45,國家住宅及都市更新中心
52,蘆竹區宏華段(大華安居),225,蘆竹區,12621,國家住宅及都市更新中心
53,大溪區太武段(太武安居),486,大溪區,11341.09,國家住宅及都市更新中心
54,桃園區三民段(日光安居),297,桃園區,2389.13,國家住宅及都市更新中心
55,桃園區大樹林段(福安安居A),448,桃園區,7524.4,國家住宅及都市更新中心
56,八德區瑞祥段(瑞祥安居),210,八德區,7709,國家住宅及都市更新中心
57,楊梅區金龍段5(埔心安居B),530,楊梅區,6721.86,國家住宅及都市更新中心
58,楊梅區金龍段13(埔心安居C),,楊梅區,4243.59,國家住宅及都市更新中心
59,龜山區公西段長庚自辦市地重劃區,350,龜山區,10000,國家住宅及都市更新中心
60,八德區大勇市地重劃案,955,八德區,24000,國家住宅及都市更新中心
61,蘆竹區宏華段767,822,蘆竹區,16352,國家住宅及都市更新中心
62,蘆竹區宏華段955,,蘆竹區,8555,國家住宅及都市更新中心
