序次,社會住宅,行政區域,基地地號,基地面積_平方公尺,工程進度
1,中路一號社會住宅,桃園區,中路一段18地號,"2,722.69",已完工
2,中路二號社會住宅,桃園區,中路三段103、105地號,"4,546.45",已完工
3,中路三號社會住宅,桃園區,中路一段9地號,"6,389.36",已完工
4,中路四號社會住宅,桃園區,中路一段10地號 ,"6,391.88",已完工
5,八德一號社會住宅,八德區,興仁段617地號,"6,821.55",已完工
6,八德二號社會住宅,八德區,豐田段1428地號,"4,604.66",已完工
7,八德三號社會住宅,八德區,興仁段621、624地號,"9,860.14",已完工
8,中壢一號社會住宅,八德區,東寮段325-4地號,"24,729.74",已完工
9,蘆竹一號社會住宅,蘆竹區,大新段424、425地號,"2,509.00",已完工
10,蘆竹二號社會住宅,蘆竹區,竹中段259地號,"10,314.39",已完工
11,楊梅一號社會住宅,楊梅區,金龍段3地號、草湳坡段埔心小段20地號,"16,113.14",已完工
12,平鎮一號社會住宅,平鎮區,平鎮段1286地號及南勢段195地號,"2,389.29",已完工
13,A10站社會住宅,蘆竹區,新鼻段169地號,"9,436.78",興建中
14,大興段社會住宅,蘆竹區,大興段83號,"2,392.25",興建中
15,善捷段社會住宅,龜山區,善捷段298、299地號,"9,452.76",興建中
16,興安段社會住宅,龜山區,龜山區興安段2地號,"4,913.22",興建中
17,捷運A20站社會住宅,中壢區,豐興段268地號,"8,920.26",興建中
