地址-行政區域代碼,項次,案名,地段,地號,面積_平方公尺,備註
10019000,1,豐原安康一期好宅,豐原區安康段,豐原區安康段954、954-1、953地號及市政段76-2、77、77-14、77-15地號等8筆,19430.08,
10019000,2,豐原安康二期好宅,豐原區安康段,豐原區安康段954、954-1、953地號及市政段76-2、77、77-14、77-15地號等8筆,19430.08,
10019000,3,大里光正一期好宅,大里區光正段,大里區光正段291地號,"5,339.00",
10019000,4,太平育賢一期好宅,太平區育賢段,太平區育賢段72地號,"8,535",
10019000,5,南屯精科好宅,南屯區寶文段,南屯區寶文段49地號,"1,704.12",
10019000,6,梧棲三民好宅,梧棲區三民段,梧棲區三民段1516、1516-1地號,"9,545",
10019000,7,北屯北屯好宅,北屯區北屯段,北屯區北屯段304-5、304-41等2筆地號,"4,455",
10019000,8,南屯建功1號,南屯區建功段,南屯區建功段26地號,594.33,
10019000,9,太平育賢二期好宅,太平區育賢段,太平區育賢段180、185、187、197地號等4筆地號,"10,541.68",
10019000,10,東區台中公園一期好宅,東區尚武段,東區尚武段903、903-4、903-5、903-6地號等4筆地號,"9,983",
10019000,11,北屯巨蛋一期好宅,北屯區同榮段,北屯區同榮段2490、2490-102、2490-105、2355、2356等5筆地號,"11,179",
10019000,12,太平長億好宅,太平區永億段,太平區永億段3、20地號,"4,691.02",
10019000,13,西屯國安一期好宅,西屯區國安段,西屯區國安段585-1地號,"9,889.46",
10019000,14,東區?園好宅,東區東勢子段,東區東勢子段45、45-1、45-2、45-3、56-12、56-15地號,4326,
10019000,15,大里光正二期好宅,大里區光正段,大里區光正段291地號,32217.18,
10019000,16,南屯建功3號,南屯區建功段,南屯區建功段4-1地號,"1,440.90",
10019000,17,太平育賢三期好宅,太平區育賢段,太平區育賢段72-1、177、178、179地號等4筆地號,"6,372.23",
10019000,18,西屯市政好宅,西屯區惠來厝,西屯區惠來厝段 593 、589 -2、589 -3、592 -5、593 -8、593 -9、592-6地號等7筆,"6,983",
10019000,19,烏日高鐵好宅,烏日區新榮和,烏日區新榮和段143地號,"5,716.12",
10019000,20,南屯建功2號,南屯區建功段,南屯區建功段31、31-1地號,658.46,
10019000,21,南屯建功5號,南屯區建功段,南屯區建功段7、7-1地號,676.12,
10019000,22,西屯中央公園好宅,西屯區鑫港尾,西屯區鑫港尾段369、370地號,"3,688.25",
10019000,23,東區干城好宅,東區練武段,東區練武段1060地號,"4,421.10",
10019000,24,西屯國安二期、三期好宅,西屯區國安段,西屯區國安段585-6地號,"7,006.76",
