,單位：人,民國109年,,,,,2020,Unit:Person,,,
,表３６ ５歲以上跨縣市遷徙人口之年齡結構,,Table 36 Age Structure of the Migration Population Aged 5 Years and Over,,,,,,,,
,,,Moving Across County/City,,,,,,,,
,(1)總計,,(1)Grand total,,,,,,,,
,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                    Unit:Person,,,,,,,,
,,,,,,,,,,,
,,總 計,未滿１５歲,１５－２４歲,２５－３４歲,,３５－４４歲,４５－５４歲,５５－６４歲,６５歲以上,
,,,,,,,,,,,
,,Grand total,Under 15 years,15-24 years,25-34 years,,35-44 years,45-54 years,55-64 years,65 years and over,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,By Usually Living County/City
,總計,1506228,93949,499604,343738,,261412,126229,90677,90619,Grand Total
,新北市,287810,23756,55833,65808,,61861,32234,23041,25277,New Taipei City
,臺北市,222570,15365,82436,51930,,34416,16473,10587,11363,Taipei City
,桃園市,185336,10918,49551,46886,,36825,16122,12356,12678,Taoyuan City
,基隆市,20459,1306,5826,4347,,3505,2179,1721,1575,Keelung City
,新竹市,60870,3319,23854,16065,,9743,3683,2141,2065,Hsinchu City
,宜蘭縣,26254,1675,9209,4559,,4006,2673,2208,1924,Yilan County
,新竹縣,61549,4823,9897,19730,,14133,5163,3520,4283,Hsinchu County
,臺中市,170509,9301,68665,39377,,26925,11413,7606,7222,Taichung City
,苗栗縣,23486,1307,7694,4993,,4400,1922,1846,1324,Miaoli County
,彰化縣,30561,1747,9300,7020,,5506,2848,2015,2125,Changhua County
,南投縣,16911,1158,4340,3696,,2910,1813,1758,1236,Nantou County
,雲林縣,24171,1652,8313,4832,,4170,2096,1644,1464,Yunlin County
,臺南市,107529,4307,52976,20364,,14538,6169,4596,4579,Tainan City
,高雄市,118841,5768,50064,26304,,17107,8386,5591,5621,Kaohsiung City
,嘉義市,15934,1704,2592,3514,,3405,1810,1337,1572,Chiayi City
,嘉義縣,36591,1876,16601,6039,,4708,3116,2393,1858,Chiayi County
,屏東縣,41176,1629,20946,6122,,4884,3224,2396,1975,Pingtung County
,澎湖縣,6488,247,1964,1731,,1165,616,462,303,Penghu County
,臺東縣,13434,603,3727,2920,,2789,1582,1192,621,Taitung County
,花蓮縣,25930,1010,12532,4522,,3042,1910,1683,1231,Hualien County
,金門縣,5779,410,1409,1603,,901,658,524,274,Kinmen County
,連江縣,4040,68,1875,1376,,473,139,60,49,Lienchiang County
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.   2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the same   county or city as it was for the usually living place, including moving from other county/city or abroad.",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：人,民國109年,,,,,2020,Unit:Person,,,
,表３６ ５歲以上跨縣市遷徙人口之年齡結構（續１）,,Table 36 Age Structure of the Migration Population Aged 5 Years and Over,,,,,,,,
,,,Moving Across County/City(Cont.1),,,,,,,,
,(1)總計,,(1)Grand total,,,,,,,,
,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                    Unit:Person,,,,,,,,
,,,,,,,,,,,
,,總 計,未滿１５歲,１５－２４歲,２５－３４歲,,３５－４４歲,４５－５４歲,５５－６４歲,６５歲以上,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,Under 15 years,15-24 years,25-34 years,,35-44 years,45-54 years,55-64 years,65 years and over,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按婚姻狀況分,,,,,,,,,,By Marital Status
,總計,1506228,93949,499604,343738,,261412,126229,90677,90619,Grand Total
,未婚,831969,93949,480740,175301,,52659,18611,7307,3402,Unmarried
,有配偶或同居伴侶,561604,0,18070,160462,,187423,83522,59974,52153,Married or Cohabited
,離婚或分居,78729,0,784,7858,,20519,21916,17974,9678,Divorced or Separated
,喪偶,33926,0,10,117,,811,2180,5422,25386,Widowed
,按教育程度分,,,,,,,,,,By Educational Attainment
,總計,1506228,93949,499604,343738,,261412,126229,90677,90619,Grand Total
,國小及以下,116390,73927,1143,807,,1939,1493,4807,32274,Elementary and Lower
,國（初）中,93353,20009,8415,9000,,12923,12341,17130,13535,Junior High
,高級中等,260410,13,75622,47296,,51810,37980,28369,19320,Senior High
,大專及以上,1036075,0,414424,286635,,194740,74415,40371,25490,Junior College and Higher
,按工作狀況分,,,,,,,,,,By Working Status
,總計,1506228,93949,499604,343738,,261412,126229,90677,90619,Grand Total
,有工作,741805,0,128328,268918,,206544,90079,40690,7246,Holding a Job
,農業,9031,0,497,2078,,2084,1919,1739,714,Agriculture
,工業,206825,0,18961,78282,,68764,27149,11799,1870,Industry
,服務業,525949,0,108870,188558,,135696,61011,27152,4662,Services
,無工作,764423,93949,371276,74820,,54868,36150,49987,83373,Not Holding a Job
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry   of Labor.   2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the same   county or city as it was for the usually living place, including moving from other county/city or abroad.",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：人,民國109年,,,,,2020,Unit:Person,,,
,表３６ ５歲以上跨縣市遷徙人口之年齡結構（續２）,,Table 36 Age Structure of the Migration Population Aged 5 Years and Over,,,,,,,,
,,,Moving Across County/City(Cont.2),,,,,,,,
,(2)男性,,(2)Male,,,,,,,,
,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                    Unit:Person,,,,,,,,
,,,,,,,,,,,
,,總 計,未滿１５歲,１５－２４歲,２５－３４歲,,３５－４４歲,４５－５４歲,５５－６４歲,６５歲以上,
,,,,,,,,,,,
,,Grand total,Under 15 years,15-24 years,25-34 years,,35-44 years,45-54 years,55-64 years,65 years and over,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,By Usually Living County/City
,總計,737979,49224,246731,160388,,128624,65210,45218,42584,Grand Total
,新北市,135689,12272,26285,30443,,29138,15499,10759,11293,New Taipei City
,臺北市,103420,8846,37383,23081,,15693,8406,5132,4879,Taipei City
,桃園市,92729,5522,25531,22503,,18676,8514,5940,6043,Taoyuan City
,基隆市,10138,789,3084,2079,,1593,1073,887,633,Keelung City
,新竹市,33005,1783,13595,8383,,5056,1948,1151,1089,Hsinchu City
,宜蘭縣,13821,915,4797,2329,,2149,1473,1143,1015,Yilan County
,新竹縣,31342,2521,5643,9605,,7111,2483,1751,2228,Hsinchu County
,臺中市,80319,4676,32192,17219,,13329,6008,3857,3038,Taichung City
,苗栗縣,10958,628,3164,2261,,2291,1005,930,679,Miaoli County
,彰化縣,14258,846,4679,2501,,2391,1418,1234,1189,Changhua County
,南投縣,7910,497,2121,1474,,1412,823,949,634,Nantou County
,雲林縣,12570,829,4398,2177,,2063,1320,1045,738,Yunlin County
,臺南市,53387,2193,26211,9470,,7578,3371,2335,2229,Tainan City
