,單位：人,民國109年,2020,Unit:Person,
,表３７ １５歲以上跨縣市遷徙人口之婚姻狀況,,,,
,Table 37 Marital Status of the Migration Population Aged 15 Years and Over,,,,
,Moving Across County/City,,,,
,(1)總計 (1)Grand total,,,,
,(1)總計,(1)Grand total,,,
,,,,,
,單位：人                  民國109年11月 November 2020                 Unit:Person,,,,
,,總 計,未婚,有配偶或同居伴侶,離婚、分居或喪偶
,,,,,
,,Grand total,Unmarried,Married orcohabited,"Divorced, separatedor widowed"
,,,,,
,,,,,
,,,,,
,按經常居住地區分,,,,
,By Usually Living County/City,,,,
,總計,1412279,738020,561604,112655
,Grand Total,,,,
,新北市,264054,103776,132414,27864
,New Taipei City,,,,
,臺北市,207205,125567,70613,11025
,Taipei City,,,,
,桃園市,174418,78515,79572,16331
,Taoyuan City,,,,
,基隆市,19153,8646,8320,2187
,Keelung City,,,,
,新竹市,57551,34304,20247,3000
,Hsinchu City,,,,
,宜蘭縣,24579,12843,9452,2284
,Yilan County,,,,
,新竹縣,56726,21113,31609,4004
,Hsinchu County,,,,
,臺中市,161208,92551,57775,10882
,Taichung City,,,,
,苗栗縣,22179,10624,9638,1917
,Miaoli County,,,,
,彰化縣,28814,13101,12930,2783
,Changhua County,,,,
,南投縣,15753,6494,7712,1547
,Nantou County,,,,
,雲林縣,22519,11643,8659,2217
,Yunlin County,,,,
,臺南市,103222,66737,30233,6252
,Tainan City,,,,
,高雄市,113073,67298,37601,8174
,Kaohsiung City,,,,
,嘉義市,14230,5139,7280,1811
,Chiayi City,,,,
,嘉義縣,34715,20921,10986,2808
,Chiayi County,,,,
,屏東縣,39547,26171,10594,2782
,Pingtung County,,,,
,澎湖縣,6241,3699,1836,706
,Penghu County,,,,
,臺東縣,12831,6783,4317,1731
,Taitung County,,,,
,花蓮縣,24920,16383,6715,1822
,Hualien County,,,,
,金門縣,5369,2655,2305,409
,Kinmen County,,,,
,連江縣,3972,3057,796,119
,Lienchiang County,,,,
