,單位：人,民國109年,,,,,,2020,Unit:Person,,,,
,表４０ １５歲以上跨縣市遷徙人口有工作者之職業,,Table 40 Occupations of the Employed Migration Population Aged 15 Years,,,,,,,,,,
,,,and Over Moving Across County/City,,,,,,,,,,
,(1)總計,,(1)Grand total,,,,,,,,,,
,,,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                     Unit:Person,,,,,,,,,,
,,總 計,民意代表、主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,,服務及銷售工作人員,農、林、漁、牧業生產人員,技藝有關工作人員,機械設備操作及組裝人員,基層技術工及勞力工,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Grand total,"Legislators,senior officialsand managers",Professionals,Technicians andassociateprofessionals,Clerical supportworkers,,Service andsales workers,"Skilledagricultural,forestry andfishery workers",Craft andrelated tradesworkers,"Plant andmachineoperators, andassemblers",Elementarylabourers,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,,,By Usually Living County/City
,總計,741805,34426,159218,142061,99572,,187582,7389,43050,46680,21827,Grand Total
,新北市,162161,10754,37244,34634,22982,,33376,267,9224,9587,4093,New Taipei City
,臺北市,105552,8539,28594,23910,14487,,23432,193,2210,2227,1960,Taipei City
,桃園市,100896,3120,18530,20749,14445,,24839,411,6943,8477,3382,Taoyuan City
,基隆市,10636,489,1662,1925,1552,,2965,17,868,728,430,Keelung City
,新竹市,30014,1142,10523,5204,4448,,5088,87,1256,1560,706,Hsinchu City
,宜蘭縣,10185,318,1562,1778,1272,,3431,152,773,640,259,Yilan County
,新竹縣,38507,2504,15076,7553,2858,,6139,145,1571,2079,582,Hsinchu County
,臺中市,77316,2821,13946,14545,10729,,22369,468,5236,5255,1947,Taichung City
,苗栗縣,11790,353,2591,2285,1154,,2335,329,1040,1225,478,Miaoli County
,彰化縣,14564,273,2360,3061,1760,,3251,492,1313,1581,473,Changhua County
,南投縣,8655,329,1132,1098,1334,,2073,602,682,842,563,Nantou County
,雲林縣,10418,308,1472,1804,1406,,1966,716,1303,967,476,Yunlin County
,臺南市,43784,1335,8970,6707,5338,,12500,932,2893,3449,1660,Tainan City
,高雄市,53116,1220,8200,9096,7000,,17203,605,3535,4568,1689,Kaohsiung City
,嘉義市,7606,142,1583,1416,920,,2196,149,467,378,355,Chiayi City
,嘉義縣,13805,274,1457,1723,2134,,4124,685,1355,1279,774,Chiayi County
,屏東縣,15526,203,1512,2018,2214,,5857,631,1111,1134,846,Pingtung County
,澎湖縣,4465,14,388,262,163,,3281,25,128,34,170,Penghu County
,臺東縣,5563,112,718,601,782,,2321,163,336,258,272,Taitung County
,花蓮縣,10041,148,1317,1141,2051,,3874,271,483,334,422,Hualien County
,金門縣,3505,18,309,415,386,,1763,49,258,61,246,Kinmen County
,連江縣,3700,10,72,136,157,,3199,0,65,17,44,Lienchiang County
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.「跨縣市遷徙人口」係指5年前居住地與現住處所之縣市不同者，包括自不同縣市或境外遷入現住縣市者。,,"Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministryof Labor.  2.""Migration population moving across county or city"" refers to the population whose living place 5 years ago was not in the samecounty or city as it was for the usually living place, including moving from other county/city or abroad.",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：人,民國109年,,,,,,2020,Unit:Person,,,,
,表４０ １５歲以上跨縣市遷徙人口有工作者之職業（續１）,,Table 40 Occupations of the Employed Migration Population Aged 15 Years,,,,,,,,,,
,,,and Over Moving Across County/City(Cont.1),,,,,,,,,,
,(2)男性,,(2)Male,,,,,,,,,,
,,,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                     Unit:Person,,,,,,,,,,
,,總 計,民意代表、主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,,服務及銷售工作人員,農、林、漁、牧業生產人員,技藝有關工作人員,機械設備操作及組裝人員,基層技術工及勞力工,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Grand total,"Legislators,senior officialsand managers",Professionals,Technicians andassociateprofessionals,Clerical supportworkers,,Service andsales workers,"Skilledagricultural,forestry andfishery workers",Craft andrelated tradesworkers,"Plant andmachineoperators, andassemblers",Elementarylabourers,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,,,By Usually Living County/City
,總計,393067,23699,88517,72802,28610,,98111,4686,35312,30626,10704,Grand Total
,新北市,83871,6903,20417,17820,6082,,15838,152,7922,6709,2028,New Taipei City
,臺北市,51800,5548,15139,11376,4285,,11005,101,1700,1484,1162,Taipei City
,桃園市,55029,2092,10884,11462,4142,,13138,238,5690,5661,1722,Taoyuan City
,基隆市,5684,242,832,1039,555,,1641,0,696,472,207,Keelung City
,新竹市,16027,930,6764,2134,1491,,2649,13,991,749,306,Hsinchu City
,宜蘭縣,5678,289,727,1001,323,,2000,75,651,500,112,Yilan County
,新竹縣,21841,1886,9800,3594,475,,3396,73,1297,1002,318,Hsinchu County
,臺中市,40288,2126,7567,7765,2974,,10806,352,4301,3564,833,Taichung City
,苗栗縣,6543,291,1566,1218,332,,1082,191,838,754,271,Miaoli County
,彰化縣,6878,201,1052,1336,491,,1470,291,1014,807,216,Changhua County
,南投縣,4237,269,567,570,369,,854,401,536,413,258,Nantou County
,雲林縣,5672,242,682,1054,403,,933,459,1055,649,195,Yunlin County
,臺南市,23558,974,4968,3367,1664,,6605,639,2310,2132,899,Tainan City
,高雄市,29604,1005,4323,4806,2199,,9916,409,2941,3213,792,Kaohsiung City
,嘉義市,4024,126,795,826,211,,1066,136,420,267,177,Chiayi City
