,,民國109年,,,,,2020,,,,,
,表６６ 住戶數、常住人口數及平均每戶人口數,,"Table 66 Number of Households, Resident Population and",,,,,,,,,
,,,Average Number of Persons Per Household,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,
,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按縣市別分,,,,,,,,,,,By County/City
,總計,8086905,23829897,2.9,8033191,,22541284,2.8,53714,1288613,24,Grand Total
,北部地區,3890142,11334806,2.9,3870578,,10808085,2.8,19564,526721,26.9,Northern Region
,新北市,1532931,4365947,2.8,1526303,,4255681,2.8,6628,110266,16.600000000000001,New Taipei City
,臺北市,938041,2594581,2.8,935990,,2488641,2.7,2051,105940,51.7,Taipei City
,桃園市,769641,2441064,3.2,763346,,2258160,3,6295,182904,29.1,Taoyuan City
,基隆市,140211,367264,2.6,139874,,356548,2.5,337,10716,31.8,Keelung City
,新竹市,168545,499468,3,168124,,463574,2.8,421,35894,85.3,Hsinchu City
,宜蘭縣,142492,433319,3,141497,,400999,2.8,995,32320,32.5,Yilan County
,新竹縣,198281,633163,3.2,195444,,584482,3,2837,48681,17.2,Hsinchu County
,中部地區,1869299,5763919,3.1,1852028,,5432969,2.9,17271,330950,19.2,Central Region
,臺中市,985957,3033840,3.1,976599,,2857256,2.9,9358,176584,18.899999999999999,Taichung City
,苗栗縣,167866,521962,3.1,166735,,490634,2.9,1131,31328,27.7,Miaoli County
,彰化縣,359748,1186795,3.3,355173,,1117611,3.1,4575,69184,15.1,Changhua County
,南投縣,153677,430211,2.8,152910,,413297,2.7,767,16914,22.1,Nantou County
,雲林縣,202051,591111,2.9,200611,,554171,2.8,1440,36940,25.7,Yunlin County
,南部地區,2123757,6162328,2.9,2108109,,5783732,2.7,15648,378596,24.2,Southern Region
,臺南市,624795,1875076,3,618413,,1742434,2.8,6382,132642,20.8,Tainan City
,高雄市,957850,2734275,2.9,952477,,2585008,2.7,5373,149267,27.8,Kaohsiung City
,嘉義市,93487,252028,2.7,93084,,246428,2.6,403,5600,13.9,Chiayi City
,嘉義縣,161076,464164,2.9,159998,,429722,2.7,1078,34442,31.9,Chiayi County
,屏東縣,258661,755047,2.9,256720,,709717,2.8,1941,45330,23.4,Pingtung County
,澎湖縣,27888,81738,2.9,27417,,70423,2.6,471,11315,24,Penghu County
,東部地區,180946,489858,2.7,179971,,448735,2.5,975,41123,42.2,Eastern Region
,臺東縣,71989,189452,2.6,71643,,176653,2.5,346,12799,37,Taitung County
,花蓮縣,108957,300406,2.8,108328,,272082,2.5,629,28324,45,Hualien County
,金馬地區,22761,78986,3.5,22505,,67763,3,256,11223,43.8,Kinma Region
,金門縣,20346,67173,3.3,20216,,61193,3,130,5980,46,Kinmen County
,連江縣,2415,11813,4.9000000000000004,2289,,6570,2.9,126,5243,41.6,Lienchiang County
