,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表６７ 普通住戶之戶內人口數,,Table 67 Number of Persons of Ordinary Households,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按縣市別分,,,,,,,,,,By County/City
,總計,8033191,2084549,2003509,1659849,,1333481,525513,426290,2.8,Grand Total
,北部地區,3870578,1002380,939131,818260,,685297,246801,178709,2.8,Northern Region
,新北市,1526303,388892,367639,328647,,280408,97016,63701,2.8,New Taipei City
,臺北市,935990,265430,235697,195174,,152523,52285,34881,2.7,Taipei City
,桃園市,763346,176668,178921,161724,,142684,56597,46752,3,Taoyuan City
,基隆市,139874,41667,37546,29423,,20689,6818,3731,2.5,Keelung City
,新竹市,168124,47601,38307,34684,,29787,10135,7610,2.8,Hsinchu City
,宜蘭縣,141497,36152,37676,27734,,20728,10094,9113,2.8,Yilan County
,新竹縣,195444,45970,43345,40874,,38478,13856,12921,3,Hsinchu County
,中部地區,1852028,454881,454201,372914,,303144,133913,132975,2.9,Central Region
,臺中市,976599,237090,231068,205448,,171000,69040,62953,2.9,Taichung City
,苗栗縣,166735,41133,41492,32516,,26162,12710,12722,2.9,Miaoli County
,彰化縣,355173,74888,86101,70479,,58987,29976,34742,3.1,Changhua County
,南投縣,152910,43903,42744,27855,,20173,9131,9104,2.7,Nantou County
,雲林縣,200611,57867,52796,36616,,26822,13056,13454,2.8,Yunlin County
,南部地區,2108109,561156,554099,433564,,320796,133683,104811,2.7,Southern Region
,臺南市,618413,158218,155244,128517,,101172,41869,33393,2.8,Tainan City
,高雄市,952477,252460,250446,203074,,148071,57696,40730,2.7,Kaohsiung City
,嘉義市,93084,24890,27641,18331,,12896,5276,4050,2.6,Chiayi City
,嘉義縣,159998,45713,45481,29371,,20086,10218,9129,2.7,Chiayi County
,屏東縣,256720,71603,67410,49286,,35045,17091,16285,2.8,Pingtung County
,澎湖縣,27417,8272,7877,4985,,3526,1533,1224,2.6,Penghu County
,東部地區,179971,60495,50441,31139,,20867,9226,7803,2.5,Eastern Region
,臺東縣,71643,24752,20093,12244,,7671,3722,3161,2.5,Taitung County
,花蓮縣,108328,35743,30348,18895,,13196,5504,4642,2.5,Hualien County
,金馬地區,22505,5637,5637,3972,,3377,1890,1992,3,Kinma Region
,金門縣,20216,4920,5012,3646,,3061,1727,1850,3,Kinmen County
,連江縣,2289,717,625,326,,316,163,142,2.9,Lienchiang County
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表６７ 普通住戶之戶內人口數（續１）,,Table 67 Number of Persons of Ordinary Households(Cont.1),,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按戶長之性別及年齡分,,,,,,,,,,By Sex and Age of Householder
,總計,8033191,2084549,2003509,1659849,,1333481,525513,426290,2.8,Grand Total
,未滿２５歲,113744,74887,19206,10495,,6384,1749,1023,2.2000000000000002,Under 25 Years
,２５－３４歲,569053,246118,129159,99712,,63100,19740,11224,2.5,25-34 Years
,３５－４４歲,1370750,334465,256099,301496,,339621,93295,45774,3,35-44 Years
,４５－５４歲,1743355,400083,386023,421282,,369634,111022,55311,2.9,45-54 Years
,５５－６４歲,1971643,458006,507128,433071,,315103,137098,121237,2.9,55-64 Years
,６５歲以上,2264646,570990,705894,393793,,239639,162609,191721,2.6,65 Years and Over
,男,4662715,993979,1108535,1012793,,897214,350051,300143,3,Male
,未滿２５歲,62949,41348,9978,6347,,3675,961,640,2.1,Under 25 Years
,２５－３４歲,342920,144046,75150,61280,,40876,13419,8149,2.6,25-34 Years
,３５－４４歲,828765,182978,136110,176821,,231254,66716,34886,3.1,35-44 Years
,４５－５４歲,1018095,191670,196647,251630,,256586,81395,40167,3.1,45-54 Years
,５５－６４歲,1150479,214637,276822,270427,,216848,90836,80909,3,55-64 Years
,６５歲以上,1259507,219300,413828,246288,,147975,96724,135392,2.8,65 Years and Over
,女,3370476,1090570,894974,647056,,436267,175462,126147,2.6,Female
,未滿２５歲,50795,33539,9228,4148,,2709,788,383,2.2000000000000002,Under 25 Years
,２５－３４歲,226133,102072,54009,38432,,22224,6321,3075,2.4,25-34 Years
,３５－４４歲,541985,151487,119989,124675,,108367,26579,10888,2.8,35-44 Years
,４５－５４歲,725260,208413,189376,169652,,113048,29627,15144,2.7,45-54 Years
,５５－６４歲,821164,243369,230306,162644,,98255,46262,40328,2.6,55-64 Years
,６５歲以上,1005139,351690,292066,147505,,91664,65885,56329,2.4,65 Years and Over
,按戶長之性別及婚姻狀況分,,,,,,,,,,By Sex and Marital Statusof Householder
,總計,8033191,2084549,2003509,1659849,,1333481,525513,426290,2.8,Grand Total
,未婚,1096337,739155,194915,97049,,41556,14625,9037,1.7,Unmarried
,有配偶或同居伴侶,5088529,572733,1325737,1275426,,1143087,420398,351148,3.2,Married or Cohabited
,離婚或分居,907236,438700,230453,139257,,58401,25012,15413,2,Divorced or Separated
,喪偶,941089,333961,252404,148117,,90437,65478,50692,2.4,Widowed
,男,4662715,993979,1108535,1012793,,897214,350051,300143,3,Male
,未婚,610886,408634,106674,57090,,24467,8605,5416,1.7,Unmarried
,有配偶或同居伴侶,3464534,309613,864732,868581,,828270,316872,276466,3.3,Married or Cohabited
,離婚或分居,400911,207930,88691,58212,,26855,11470,7753,2,Divorced or Separated
,喪偶,186384,67802,48438,28910,,17622,13104,10508,2.4,Widowed
,女,3370476,1090570,894974,647056,,436267,175462,126147,2.6,Female
,未婚,485451,330521,88241,39959,,17089,6020,3621,1.7,Unmarried
,有配偶或同居伴侶,1623995,263120,461005,406845,,314817,103526,74682,3.1,Married or Cohabited
,離婚或分居,506325,230770,141762,81045,,31546,13542,7660,2.1,Divorced or Separated
,喪偶,754705,266159,203966,119207,,72815,52374,40184,2.4,Widowed
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表６７ 普通住戶之戶內人口數（續２）,,Table 67 Number of Persons of Ordinary Households(Cont.2),,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                     民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按戶長之性別及教育程度分,,,,,,,,,,By Sex and EducationalAttainment of Householder
,總計,8033191,2084549,2003509,1659849,,1333481,525513,426290,2.8,Grand Total
,國小及以下,1213748,310193,332919,205758,,138820,102407,123651,2.8,Elementary and Lower
,國（初）中,1106455,253335,272600,221291,,171263,92474,95492,3,Junior High
,高級中等,2293866,553450,565315,495007,,395724,161939,122431,2.9,Senior High
,大專及以上,3419122,967571,832675,737793,,627674,168693,84716,2.7,Junior College and Higher
,男,4662715,993979,1108535,1012793,,897214,350051,300143,3,Male
,國小及以下,544294,90700,154430,103611,,69502,50256,75795,3.1,Elementary and Lower
,國（初）中,659762,126098,152315,137597,,116423,60038,67291,3.1,Junior High
,高級中等,1365815,273628,310286,300570,,273605,116080,91646,3.1,Senior High
,大專及以上,2092844,503553,491504,471015,,437684,123677,65411,2.8,Junior College and Higher
,女,3370476,1090570,894974,647056,,436267,175462,126147,2.6,Female
,國小及以下,669454,219493,178489,102147,,69318,52151,47856,2.5,Elementary and Lower
,國（初）中,446693,127237,120285,83694,,54840,32436,28201,2.8,Junior High
,高級中等,928051,279822,255029,194437,,122119,45859,30785,2.6,Senior High
,大專及以上,1326278,464018,341171,266778,,189990,45016,19305,2.5,Junior College and Higher
,按戶長之性別及工作狀況分,,,,,,,,,,By Sex and Working Status of Householder
,總計,8033191,2084549,2003509,1659849,,1333481,525513,426290,2.8,Grand Total
,有工作,4711455,1183041,1060572,1037686,,921374,304677,204105,2.9,Holding a Job
,農業,288372,65275,77513,53675,,39793,23080,29036,3,Agriculture
,工業,1671592,351368,345166,385286,,379512,126426,83834,3.1,Industry
,服務業,2751491,766398,637893,598725,,502069,155171,91235,2.8,Services
,無工作,3321736,901508,942937,622163,,412107,220836,222185,2.7,Not Holding a Job
,男,4662715,993979,1108535,1012793,,897214,350051,300143,3,Male
,有工作,3059877,642513,638678,693980,,685939,235289,163478,3.1,Holding a Job
,農業,230386,43202,62706,44620,,34173,19712,25973,3.1,Agriculture
,工業,1280964,243222,246846,297492,,314858,107046,71500,3.2,Industry
,服務業,1548527,356089,329126,351868,,336908,108531,66005,3,Services
,無工作,1602838,351466,469857,318813,,211275,114762,136665,2.8,Not Holding a Job
,女,3370476,1090570,894974,647056,,436267,175462,126147,2.6,Female
,有工作,1651578,540528,421894,343706,,235435,69388,40627,2.6,Holding a Job
,農業,57986,22073,14807,9055,,5620,3368,3063,2.5,Agriculture
,工業,390628,108146,98320,87794,,64654,19380,12334,2.8,Industry
,服務業,1202964,410309,308767,246857,,165161,46640,25230,2.6,Services
,無工作,1718898,550042,473080,303350,,200832,106074,85520,2.5,Not Holding a Job
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表６７ 普通住戶之戶內人口數（續３）,,Table 67 Number of Persons of Ordinary Households(Cont.3),,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                     民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按主要家計負責人之性別及年齡分,,,,,,,,,,By Sex and Age of Main Family Living Supporter
,總計,7935570,2084549,1922660,1650458,,1328852,524000,425051,2.8,Grand Total
,未滿２５歲,125515,74887,22298,15408,,8305,2904,1713,2,Under 25 Years
,２５－３４歲,725097,246118,157811,152322,,99334,38814,30698,2.7,25-34 Years
,３５－４４歲,1701565,334465,307582,387793,,400624,149418,121683,3.2,35-44 Years
,４５－５４歲,1970405,400083,420740,474093,,421306,154228,99955,3,45-54 Years
,５５－６４歲,1859509,458006,480274,403646,,293942,120958,102683,2.8,55-64 Years
,６５歲以上,1553479,570990,533955,217196,,105341,57678,68319,2.2000000000000002,65 Years and Over
,男,5223289,993979,1243353,1152076,,1051612,425156,357113,3.1,Male
,未滿２５歲,72187,41348,12848,9285,,5424,1923,1359,2,Under 25 Years
