,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表６８ 普通住戶之家戶型態,,Table 68 Family Household Type of Ordinary Households,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                  Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple orunmarriedpartner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent family),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparentwith theirunmarriedgrandchild(ren),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按縣市別分,,,,,,,,,,,,,,,By County/City
,總計,8033191,4123461,1072010,2454929,596522,1278796,,843729,331619,103448,2084549,546385,448764,97621,Grand Total
,北部地區,3870578,2058164,486759,1284093,287312,552863,,364741,145113,43009,1002380,257171,207851,49320,Northern Region
,新北市,1526303,829607,182772,527684,119151,208270,,136600,56097,15573,388892,99534,80552,18982,New Taipei City
,臺北市,935990,483778,120374,296854,66550,121418,,76875,34549,9994,265430,65364,50577,14787,Taipei City
,桃園市,763346,413197,97849,255704,59644,123602,,86529,28168,8905,176668,49879,41680,8199,Taoyuan City
,基隆市,139874,70361,18111,40993,11257,18716,,10987,5734,1995,41667,9130,7927,1203,Keelung City
,新竹市,168124,87606,20221,57353,10032,22640,,14902,5968,1770,47601,10277,7534,2743,Hsinchu City
,宜蘭縣,141497,68298,22690,36337,9271,26401,,17414,6506,2481,36152,10646,9108,1538,Yilan County
,新竹縣,195444,105317,24742,69168,11407,31816,,21434,8091,2291,45970,12341,10473,1868,Hsinchu County
,中部地區,1852028,921553,251725,539247,130581,346827,,232798,87395,26634,454881,128767,108835,19932,Central Region
,臺中市,976599,514474,121142,318091,75241,159804,,111141,38139,10524,237090,65231,54234,10997,Taichung City
,苗栗縣,166735,78184,24198,43511,10475,34851,,22789,8868,3194,41133,12567,10338,2229,Miaoli County
,彰化縣,355173,172213,50565,98684,22964,81224,,55842,19773,5609,74888,26848,24047,2801,Changhua County
,南投縣,152910,68246,24946,33724,9576,30391,,18170,9294,2927,43903,10370,8721,1649,Nantou County
