,單位：戶,民國109年,,,,2020,Unit:Household,,
,表８３ 普通住戶之住宅所有權屬,,Table 83 Home Ownership of Ordinary Households,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住,其他（含借住）,
,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted,Others(including borrowed),
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按縣市別分,,,,,,,,By County/City
,總計,8007809,6294206,479707,,875622,38876,319398,Grand Total
,北部地區,3860258,2969174,231244,,486006,19731,154103,Northern Region
,新北市,1524598,1161418,84222,,221157,4922,52879,New Taipei City
,臺北市,933940,673216,71359,,129267,7308,52790,Taipei City
,桃園市,759945,604945,42328,,81941,3881,26850,Taoyuan City
,基隆市,139727,118257,8383,,9333,284,3470,Keelung City
,新竹市,166839,127210,8072,,23821,1567,6169,Hsinchu City
,宜蘭縣,141118,119868,7069,,8387,1085,4709,Yilan County
,新竹縣,194091,164260,9811,,12100,684,7236,Hsinchu County
,中部地區,1847866,1488855,103687,,183466,6904,64954,Central Region
,臺中市,974222,748643,53606,,132471,2949,36553,Taichung City
,苗栗縣,166443,139680,8827,,11358,791,5787,Miaoli County
,彰化縣,354633,308127,17901,,19238,1625,7742,Changhua County
,南投縣,152310,123546,10089,,9363,1011,8301,Nantou County
,雲林縣,200258,168859,13264,,11036,528,6571,Yunlin County
,南部地區,2099083,1678084,133977,,186619,10430,89973,Southern Region
,臺南市,616599,493095,37326,,60366,1881,23931,Tainan City
,高雄市,950703,751162,63710,,86654,5193,43984,Kaohsiung City
,嘉義市,92936,73271,5088,,10022,339,4216,Chiayi City
,嘉義縣,159618,132216,9852,,11412,237,5901,Chiayi County
,屏東縣,252245,206852,15292,,17034,2513,10554,Pingtung County
,澎湖縣,26982,21488,2709,,1131,267,1387,Penghu County
,東部地區,178296,140662,8943,,17555,1624,9512,Eastern Region
,臺東縣,70568,56335,3545,,6106,341,4241,Taitung County
,花蓮縣,107728,84327,5398,,11449,1283,5271,Hualien County
,金馬地區,22306,17431,1856,,1976,187,856,Kinma Region
,金門縣,20037,15848,1703,,1538,167,781,Kinmen County
,連江縣,2269,1583,153,,438,20,75,Lienchiang County
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,
,,,,,,,,,
,單位：戶,民國109年,,,,2020,Unit:Household,,
,表８３ 普通住戶之住宅所有權屬（續１）,,Table 83 Home Ownership of Ordinary Households(Cont.1),,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住,其他（含借住）,
,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted,Others(including borrowed),
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按戶內人口數分,,,,,,,,By Number of Persons in the Household
,總計,8007809,6294206,479707,,875622,38876,319398,Grand Total
,１人,2068109,1331138,196037,,381400,13738,145796,1 Person
,２人,1998727,1615926,115520,,184478,9433,73370,2 Persons
,３人,1657790,1372167,80700,,145594,7783,51546,3 Persons
,４人,1332175,1130553,59775,,104363,5218,32266,4 Persons
,５人,525081,457666,18674,,37294,1713,9734,5 Persons
,６人以上,425927,386756,9001,,22493,991,6686,6 Persons and More
,按家戶型態分,,,,,,,,By Type of Household
,總計,8007809,6294206,479707,,875622,38876,319398,Grand Total
,核心家戶,4116642,3387759,216131,,361668,18919,132165,Nucleus Family Household
,夫婦、配偶或同居伴侶,1069456,919666,45470,,77501,4412,22407,A Married Couple or   Unmarried Partner
,父母與未婚子女,2451630,2035538,133878,,194015,12144,76055,A Married Couple with Their   Unmarried Child(ren)
,父(或母)與未婚子女(單親),595556,432555,36783,,90152,2363,33703,Father/Mother with His/Her   Unmarried Child(ren)
,主幹家戶,1277668,1150970,34961,,65785,3633,22319,Stem Family Household
,袓父母、父母及未婚子女,843273,764333,19030,,44708,2197,13005,"Grandparent, Parent and Their   Unmarried Child(ren)"
,父母與已婚子女,331099,298774,9933,,14850,1134,6408,A Married Couple with Their   Married Child(ren)
,袓父母與未婚子女(隔代),103296,87863,5998,,6227,302,2906,Grandparent with Their   Unmarried Grandchild(ren)
,單人家戶,2068109,1331138,196037,,381400,13738,145796,One-Person Household
,其他家戶,545390,424339,32578,,66769,2586,19118,Other Household
,有親屬關係,447965,367143,26978,,37098,1432,15314,With Relatives
,無親屬關係,97425,57196,5600,,29671,1154,3804,With No Relatives
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,
,,,,,,,,,
,單位：戶,民國109年,,,,2020,Unit:Household,,
,表８３ 普通住戶之住宅所有權屬（續２）,,Table 83 Home Ownership of Ordinary Households(Cont.2),,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住,其他（含借住）,
,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted,Others(including borrowed),
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按戶長之性別及年齡分,,,,,,,,By Sex and Age of Householder
,總計,8007809,6294206,479707,,875622,38876,319398,Grand Total
,未滿２５歲,108823,39865,15818,,44919,896,7325,Under 25 Years
,２５－３４歲,564419,323984,67796,,139080,4841,28718,25-34 Years
,３５－４４歲,1366155,961989,121509,,203369,9148,70140,35-44 Years
,４５－５４歲,1739817,1360707,101303,,194086,9103,74618,45-54 Years
,５５－６４歲,1967619,1637706,73055,,177717,7470,71671,55-64 Years
,６５歲以上,2260976,1969955,100226,,116451,7418,66926,65 Years and Over
,男,4647748,3730127,267322,,467415,23278,159606,Male
,未滿２５歲,60168,23322,8850,,23342,648,4006,Under 25 Years
,２５－３４歲,340020,205032,40266,,76127,2869,15726,25-34 Years
,３５－４４歲,826226,604124,75432,,106949,5651,34070,35-44 Years
,４５－５４歲,1016095,810490,61655,,101410,5612,36928,45-54 Years
,５５－６４歲,1147977,967337,41157,,96500,4864,38119,55-64 Years
,６５歲以上,1257262,1119822,39962,,63087,3634,30757,65 Years and Over
,女,3360061,2564079,212385,,408207,15598,159792,Female
,未滿２５歲,48655,16543,6968,,21577,248,3319,Under 25 Years
,２５－３４歲,224399,118952,27530,,62953,1972,12992,25-34 Years
,３５－４４歲,539929,357865,46077,,96420,3497,36070,35-44 Years
,４５－５４歲,723722,550217,39648,,92676,3491,37690,45-54 Years
,５５－６４歲,819642,670369,31898,,81217,2606,33552,55-64 Years
,６５歲以上,1003714,850133,60264,,53364,3784,36169,65 Years and Over
,按戶長之性別及婚姻狀況分,,,,,,,,By Sex and Marital Statusof Householder
,總計,8007809,6294206,479707,,875622,38876,319398,Grand Total
,未婚,1085547,665058,103928,,239391,6764,70406,Unmarried
,有配偶或同居伴侶,5077622,4276374,253888,,379009,23841,144510,Married or Cohabited
,離婚或分居,904693,565811,66559,,196753,4305,71265,Divorced or Separated
,喪偶,939947,786963,55332,,60469,3966,33217,Widowed
,男,4647748,3730127,267322,,467415,23278,159606,Male
,未婚,604509,371137,60244,,131062,4295,37771,Unmarried
,有配偶或同居伴侶,3457429,2942229,167067,,245753,16090,86290,Married or Cohabited
,離婚或分居,399699,254919,32002,,79761,2364,30653,Divorced or Separated
,喪偶,186111,161842,8009,,10839,529,4892,Widowed
,女,3360061,2564079,212385,,408207,15598,159792,Female
,未婚,481038,293921,43684,,108329,2469,32635,Unmarried
,有配偶或同居伴侶,1620193,1334145,86821,,133256,7751,58220,Married or Cohabited
,離婚或分居,504994,310892,34557,,116992,1941,40612,Divorced or Separated
,喪偶,753836,625121,47323,,49630,3437,28325,Widowed
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,,,,Note:This table only includes ordinary households living in the housing unit.,,,
,,,,,,,,,
,單位：戶,民國109年,,,,2020,Unit:Household,,
,表８３ 普通住戶之住宅所有權屬（續３）,,Table 83 Home Ownership of Ordinary Households(Cont.3),,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住,其他（含借住）,
,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted,Others(including borrowed),
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按戶長之性別及教育程度分,,,,,,,,By Sex and EducationalAttainment of Householder
,總計,8007809,6294206,479707,,875622,38876,319398,Grand Total
,國小及以下,1212125,1036877,60605,,72577,3249,38817,Elementary and Lower
,國（初）中,1104334,861129,55433,,137598,3580,46594,Junior High
,高級中等,2288379,1742440,134238,,298139,9100,104462,Senior High
,大專及以上,3402971,2653760,229431,,367308,22947,129525,Junior College and Higher
,男,4647748,3730127,267322,,467415,23278,159606,Male
,國小及以下,543562,481136,17703,,29007,856,14860,Elementary and Lower
,國（初）中,658430,522527,33341,,74428,2073,26061,Junior High
,高級中等,1362560,1064204,81801,,157032,5432,54091,Senior High
,大專及以上,2083196,1662260,134477,,206948,14917,64594,Junior College and Higher
,女,3360061,2564079,212385,,408207,15598,159792,Female
,國小及以下,668563,555741,42902,,43570,2393,23957,Elementary and Lower
,國（初）中,445904,338602,22092,,63170,1507,20533,Junior High
,高級中等,925819,678236,52437,,141107,3668,50371,Senior High
,大專及以上,1319775,991500,94954,,160360,8030,64931,Junior College and Higher
,按戶長之性別及工作狀況分,,,,,,,,By Sex and Working Status of Householder
,總計,8007809,6294206,479707,,875622,38876,319398,Grand Total
,有工作,4694069,3549919,303577,,622624,27674,190275,Holding a Job
,農業,288096,246209,18980,,10286,1410,11211,Agriculture
,工業,1666444,1300063,108569,,187821,6684,63307,Industry
,服務業,2739529,2003647,176028,,424517,19580,115757,Services
,無工作,3313740,2744287,176130,,252998,11202,129123,Not Holding a Job
,男,4647748,3730127,267322,,467415,23278,159606,Male
,有工作,3049234,2376362,194657,,355210,18373,104632,Holding a Job
,農業,230190,199869,14946,,6647,874,7854,Agriculture
,工業,1277230,1011327,82982,,135347,5056,42518,Industry
,服務業,1541814,1165166,96729,,213216,12443,54260,Services
,無工作,1598514,1353765,72665,,112205,4905,54974,Not Holding a Job
,女,3360061,2564079,212385,,408207,15598,159792,Female
,有工作,1644835,1173557,108920,,267414,9301,85643,Holding a Job
,農業,57906,46340,4034,,3639,536,3357,Agriculture
,工業,389214,288736,25587,,52474,1628,20789,Industry
,服務業,1197715,838481,79299,,211301,7137,61497,Services
,無工作,1715226,1390522,103465,,140793,6297,74149,Not Holding a Job
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,,,,Note:This table only includes ordinary households living in the housing unit.,,,
,,,,,,,,,
,,,,,,,,,
,單位：戶,民國109年,,,,2020,Unit:Household,,
,表８３ 普通住戶之住宅所有權屬（續４）,,Table 83 Home Ownership of Ordinary Households(Cont.4),,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住,其他（含借住）,
,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted,Others(including borrowed),
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按主要家計負責人之性別及年齡分,,,,,,,,By Sex and Age of Main Family Living Supporter
,總計,7910384,6237010,474107,,845951,37722,315594,Grand Total
,未滿２５歲,120586,54560,16657,,40461,757,8151,Under 25 Years
,２５－３４歲,720328,465552,72306,,144478,4839,33153,25-34 Years
,３５－４４歲,1696877,1267785,128363,,216451,9366,74912,35-44 Years
,４５－５４歲,1966728,1575974,107145,,197183,9557,76869,45-54 Years
,５５－６４歲,1855618,1547634,69945,,163001,7522,67516,55-64 Years
,６５歲以上,1550247,1325505,79691,,84377,5681,54993,65 Years and Over
,男,5207868,4233390,284688,,495140,24738,169912,Male
,未滿２５歲,69416,33326,9297,,21715,535,4543,Under 25 Years
,２５－３４歲,478143,324354,45011,,86356,2977,19445,25-34 Years
,３５－４４歲,1178997,919655,84918,,128251,6404,39769,35-44 Years
,４５－５４歲,1315643,1086244,68329,,113812,6366,40892,45-54 Years
,５５－６４歲,1216443,1035087,42095,,95850,5287,38124,55-64 Years
,６５歲以上,949226,834724,35038,,49156,3169,27139,65 Years and Over
,女,2702516,2003620,189419,,350811,12984,145682,Female
,未滿２５歲,51170,21234,7360,,18746,222,3608,Under 25 Years
,２５－３４歲,242185,141198,27295,,58122,1862,13708,25-34 Years
,３５－４４歲,517880,348130,43445,,88200,2962,35143,35-44 Years
,４５－５４歲,651085,489730,38816,,83371,3191,35977,45-54 Years
,５５－６４歲,639175,512547,27850,,67151,2235,29392,55-64 Years
,６５歲以上,601021,490781,44653,,35221,2512,27854,65 Years and Over
,按主要家計負責人之性別及婚姻狀況分,,,,,,,,By Sex and Marital Status ofMain Family Living Supporter
,總計,7910384,6237010,474107,,845951,37722,315594,Grand Total
,未婚,1448239,998417,114579,,249587,7019,78637,Unmarried
,有配偶或同居伴侶,4983715,4197628,252204,,367590,23733,142560,Married or Cohabited
,離婚或分居,909285,582860,65963,,186922,4322,69218,Divorced or Separated
,喪偶,569145,458105,41361,,41852,2648,25179,Widowed
,男,5207868,4233390,284688,,495140,24738,169912,Male
