,單位：戶,民國109年,,,,,2020,Unit:Household,,
,表８４ 普通住戶之住宅擁有情形,,Table 84 Home Ownership of Present Living House,,,,,,,
,,,of Ordinary Households,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,
,,總 計,現住住宅為自有The present living house was self-owned,,現住住宅非自有The present living house was non self-owned,,,,,
,,,,,,,,,,
,,合計,有其他自有住宅,沒有其他自有住宅,,合計,有其他自有住宅,沒有其他自有住宅,,
,,Grand total,,,,,,,,
,,Total,Having otherhouse,Having noother house,,Total,Having otherhouse,Having noother house,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按縣市別分,,,,,,,,,By County/City
,總計,8007809,6294206,1462681,4831525,,1713603,254555,1459048,Grand Total
,北部地區,3860258,2969174,757095,2212079,,891084,135538,755546,Northern Region
,新北市,1524598,1161418,284656,876762,,363180,47047,316133,New Taipei City
,臺北市,933940,673216,215167,458049,,260724,47317,213407,Taipei City
,桃園市,759945,604945,137772,467173,,155000,22060,132940,Taoyuan City
,基隆市,139727,118257,24713,93544,,21470,2703,18767,Keelung City
,新竹市,166839,127210,32340,94870,,39629,6735,32894,Hsinchu City
,宜蘭縣,141118,119868,26943,92925,,21250,4010,17240,Yilan County
,新竹縣,194091,164260,35504,128756,,29831,5666,24165,Hsinchu County
,中部地區,1847866,1488855,317782,1171073,,359011,52676,306335,Central Region
,臺中市,974222,748643,162445,586198,,225579,30521,195058,Taichung City
,苗栗縣,166443,139680,26458,113222,,26763,3721,23042,Miaoli County
,彰化縣,354633,308127,69556,238571,,46506,7732,38774,Changhua County
,南投縣,152310,123546,27156,96390,,28764,5676,23088,Nantou County
,雲林縣,200258,168859,32167,136692,,31399,5026,26373,Yunlin County
,南部地區,2099083,1678084,353972,1324112,,420999,59676,361323,Southern Region
,臺南市,616599,493095,101284,391811,,123504,16773,106731,Tainan City
,高雄市,950703,751162,164587,586575,,199541,28444,171097,Kaohsiung City
,嘉義市,92936,73271,17132,56139,,19665,3007,16658,Chiayi City
,嘉義縣,159618,132216,26842,105374,,27402,4084,23318,Chiayi County
,屏東縣,252245,206852,39516,167336,,45393,6318,39075,Pingtung County
,澎湖縣,26982,21488,4611,16877,,5494,1050,4444,Penghu County
,東部地區,178296,140662,26985,113677,,37634,5211,32423,Eastern Region
,臺東縣,70568,56335,10267,46068,,14233,2092,12141,Taitung County
,花蓮縣,107728,84327,16718,67609,,23401,3119,20282,Hualien County
,金馬地區,22306,17431,6847,10584,,4875,1454,3421,Kinma Region
,金門縣,20037,15848,5988,9860,,4189,1165,3024,Kinmen County
,連江縣,2269,1583,859,724,,686,289,397,Lienchiang County
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,
,,,,,,,,,,
,單位：戶,民國109年,,,,,2020,Unit:Household,,
,表８４ 普通住戶之住宅擁有情形（續１）,,Table 84 Home Ownership of Present Living House,,,,,,,
,,,of Ordinary Households(Cont.1),,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,
,,總 計,現住住宅為自有The present living house was self-owned,,現住住宅非自有The present living house was non self-owned,,,,,
,,,,,,,,,,
,,合計,有其他自有住宅,沒有其他自有住宅,,合計,有其他自有住宅,沒有其他自有住宅,,
,,Grand total,,,,,,,,
,,Total,Having otherhouse,Having noother house,,Total,Having otherhouse,Having noother house,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按戶內人口數分,,,,,,,,,By Number of Persons in the Household
,總計,8007809,6294206,1462681,4831525,,1713603,254555,1459048,Grand Total
,１人,2068109,1331138,322606,1008532,,736971,104300,632671,1 Person
,２人,1998727,1615926,399435,1216491,,382801,59791,323010,2 Persons
,３人,1657790,1372167,304041,1068126,,285623,43972,241651,3 Persons
,４人,1332175,1130553,246029,884524,,201622,31381,170241,4 Persons
,５人,525081,457666,101535,356131,,67415,9690,57725,5 Persons
,６人以上,425927,386756,89035,297721,,39171,5421,33750,6 Persons and More
,按家戶型態分,,,,,,,,,By Type of Household
,總計,8007809,6294206,1462681,4831525,,1713603,254555,1459048,Grand Total
,核心家戶,4116642,3387759,785554,2602205,,728883,114936,613947,Nucleus Family Household
,夫婦、配偶或同居伴侶,1069456,919666,252505,667161,,149790,28461,121329,A Married Couple or   Unmarried Partner
,父母與未婚子女,2451630,2035538,466246,1569292,,416092,73869,342223,A Married Couple with Their   Unmarried Child(ren)
,父(或母)與未婚子女(單親),595556,432555,66803,365752,,163001,12606,150395,Father/Mother with His/Her   Unmarried Child(ren)
,主幹家戶,1277668,1150970,266350,884620,,126698,19698,107000,Stem Family Household
,袓父母、父母及未婚子女,843273,764333,171534,592799,,78940,11232,67708,"Grandparent, Parent and Their   Unmarried Child(ren)"
,父母與已婚子女,331099,298774,74019,224755,,32325,6143,26182,A Married Couple with Their   Married Child(ren)
,袓父母與未婚子女(隔代),103296,87863,20797,67066,,15433,2323,13110,Grandparent with Their   Unmarried Grandchild(ren)
,單人家戶,2068109,1331138,322606,1008532,,736971,104300,632671,One-Person Household
,其他家戶,545390,424339,88171,336168,,121051,15621,105430,Other Household
,有親屬關係,447965,367143,74537,292606,,80822,10004,70818,With Relatives
,無親屬關係,97425,57196,13634,43562,,40229,5617,34612,With No Relatives
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,
,,,,,,,,,,
,單位：戶,民國109年,,,,,2020,Unit:Household,,
,表８４ 普通住戶之住宅擁有情形（續２）,,Table 84 Home Ownership of Present Living House,,,,,,,
,,,of Ordinary Households(Cont.2),,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,
,,總 計,現住住宅為自有The present living house was self-owned,,現住住宅非自有The present living house was non self-owned,,,,,
,,,,,,,,,,
,,合計,有其他自有住宅,沒有其他自有住宅,,合計,有其他自有住宅,沒有其他自有住宅,,
,,Grand total,,,,,,,,
