,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,
,表８８ 住宅之竣工年份,,Table 88 Completion Year of Construction of Housing Units,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                 Unit:Housing unit,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,
,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,
,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按縣市別分,,,,,,,,,,By County/City
,總計,8993149,2863340,1707336,2257023,,1180085,985365,523958,461407,Grand Total
,北部地區,4245451,1297206,826805,1032551,,602881,486008,253763,232245,Northern Region
,新北市,1676933,496476,318387,452429,,232459,177182,89495,87687,New Taipei City
,臺北市,950496,429239,263650,105185,,95901,56521,33337,23184,Taipei City
,桃園市,867883,170891,130108,260956,,164839,141089,71986,69103,Taoyuan City
,基隆市,171191,53190,28824,65178,,13782,10217,3468,6749,Keelung City
,新竹市,181086,40384,28680,53822,,30174,28026,16087,11939,Hsinchu City
,宜蘭縣,188788,59361,31716,50423,,22116,25172,13776,11396,Yilan County
,新竹縣,209074,47665,25440,44558,,43610,47801,25614,22187,Hsinchu County
,中部地區,2084028,640400,367832,584746,,253666,237384,128072,109312,Central Region
,臺中市,1073182,253910,180940,351609,,144101,142622,78070,64552,Taichung City
,苗栗縣,190106,61624,37543,41263,,21997,27679,13904,13775,Miaoli County
,彰化縣,420090,164022,80289,104367,,37474,33938,18068,15870,Changhua County
,南投縣,173230,72226,29272,36916,,20302,14514,9108,5406,Nantou County
,雲林縣,227420,88618,39788,50591,,29792,18631,8922,9709,Yunlin County
,南部地區,2431567,839072,470144,587878,,297172,237301,130748,106553,Southern Region
,臺南市,712130,223261,140759,185068,,84701,78341,38030,40311,Tainan City
,高雄市,1107058,368805,217339,265769,,144886,110259,63315,46944,Kaohsiung City
,嘉義市,106368,34653,19580,31966,,12366,7803,5457,2346,Chiayi City
,嘉義縣,182774,82984,30620,34106,,22940,12124,5396,6728,Chiayi County
,屏東縣,292234,114877,56925,65931,,28924,25577,17205,8372,Pingtung County
,澎湖縣,31003,14492,4921,5038,,3355,3197,1345,1852,Penghu County
,東部地區,205658,79686,38690,46972,,23459,16851,7609,9242,Eastern Region
,臺東縣,78293,30171,13957,17632,,8606,7927,3380,4547,Taitung County
,花蓮縣,127365,49515,24733,29340,,14853,8924,4229,4695,Hualien County
,金馬地區,26445,6976,3865,4876,,2907,7821,3766,4055,Kinma Region
,金門縣,23405,5653,3600,4586,,2447,7119,3416,3703,Kinmen County
,連江縣,3040,1323,265,290,,460,702,350,352,Lienchiang County
