,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表９０ 住宅之建築類型,,,,,表３６ 住宅之建築類型,表３６ 新北市住宅之建築類型,表３６,新北市,住宅之建築類型
,Table 90 Type of Building,,,,,Table 36,Table 36 New Taipei City,Table 36,New Taipei City,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                  民國109年11月November 2020              Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按縣市別分,,,,,,,,,
,By County/City,,,,,,,,,
,總計,8993149,950655,5286964,1610820,1144710,,,,
,Grand Total,,,,,,,,,
,北部地區,4245451,280052,2183138,1073355,708906,,,,
,Northern Region,,,,,,,,,
,新北市,1676933,91825,783070,429861,372177,,,,
,New Taipei City,,,,,,,,,
,臺北市,950496,24525,492289,307448,126234,,,,
,Taipei City,,,,,,,,,
,桃園市,867883,81828,447313,197176,141566,,,,
,Taoyuan City,,,,,,,,,
,基隆市,171191,14812,99829,40029,16521,,,,
,Keelung City,,,,,,,,,
,新竹市,181086,14825,98224,41702,26335,,,,
,Hsinchu City,,,,,,,,,
,宜蘭縣,188788,26671,135707,22418,3992,,,,
,Yilan County,,,,,,,,,
,新竹縣,209074,25566,126706,34721,22081,,,,
,Hsinchu County,,,,,,,,,
,中部地區,2084028,300121,1349256,256690,177961,,,,
,Central Region,,,,,,,,,
,臺中市,1073182,122828,580675,206580,163099,,,,
,Taichung City,,,,,,,,,
,苗栗縣,190106,35195,134741,16594,3576,,,,
,Miaoli County,,,,,,,,,
,彰化縣,420090,68546,327614,17494,6436,,,,
,Changhua County,,,,,,,,,
,南投縣,173230,40623,123294,6435,2878,,,,
,Nantou County,,,,,,,,,
,雲林縣,227420,32929,182932,9587,1972,,,,
,Yunlin County,,,,,,,,,
,南部地區,2431567,325047,1584442,265809,256269,,,,
,Southern Region,,,,,,,,,
,臺南市,712130,99221,487279,78454,47176,,,,
,Tainan City,,,,,,,,,
,高雄市,1107058,122371,638944,150910,194833,,,,
,Kaohsiung City,,,,,,,,,
,嘉義市,106368,7479,72455,18737,7697,,,,
,Chiayi City,,,,,,,,,
,嘉義縣,182774,23598,154619,3835,722,,,,
,Chiayi County,,,,,,,,,
,屏東縣,292234,68588,205577,12591,5478,,,,
,Pingtung County,,,,,,,,,
,澎湖縣,31003,3790,25568,1282,363,,,,
,Penghu County,,,,,,,,,
,東部地區,205658,38941,151251,13892,1574,,,,
,Eastern Region,,,,,,,,,
,臺東縣,78293,18129,55484,4366,314,,,,
,Taitung County,,,,,,,,,
,花蓮縣,127365,20812,95767,9526,1260,,,,
,Hualien County,,,,,,,,,
,金馬地區,26445,6494,18877,1074,0,,,,
,Kinma Region,,,,,,,,,
,金門縣,23405,5790,16899,716,0,,,,
,Kinmen County,,,,,,,,,
,連江縣,3040,704,1978,358,0,,,,
,Lienchiang County,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表９０ 住宅之建築類型（續）,,,,,表３６ 住宅之建築類型,表３６ 新北市住宅之建築類型,表３６,新北市,住宅之建築類型
,Table 90 Type of Building(Cont.),,,,,Table 36,Table 36 New Taipei City,Table 36,New Taipei City,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                  民國109年11月 November 2020               Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按樓地板面積分,,,,,,,,,
,By Total Floor Area,,,,,,,,,
,總計,8993149,950655,5286964,1610820,1144710,,,,
,Grand Total,,,,,,,,,
,未滿３０平方公尺,217842,31199,72784,70893,42966,,,,
,Under 30 Square Meters,,,,,,,,,
,３０－未滿６０平方公尺,939163,151707,416299,215813,155344,,,,
,30-Under 60 Square Meters,,,,,,,,,
,６０－未滿９０平方公尺,2316103,219452,1192461,542873,361317,,,,
,60-Under 90 Square Meters,,,,,,,,,
,９０－未滿１２０平方公尺,1924224,163775,995080,441829,323540,,,,
,90-Under 120 Square Meters,,,,,,,,,
,１２０－未滿１５０平方公尺,1227953,129710,795150,168551,134542,,,,
,120-Under 150 Square Meters,,,,,,,,,
,１５０－未滿１８０平方公尺,944839,103249,710905,74318,56367,,,,
,150-Under 180 Square Meters,,,,,,,,,
,１８０－未滿３００平方公尺,1287862,136622,997231,87219,66790,,,,
,180-Under 300 Square Meters,,,,,,,,,
,３００平方公尺以上,135163,14941,107054,9324,3844,,,,
,300 Square Meters and More,,,,,,,,,
,按竣工年份分,,,,,,,,,
,By Completion Year of Construction,,,,,,,,,
,總計,8993149,950655,5286964,1610820,1144710,,,,
,Grand Total,,,,,,,,,
,６９年以前,2863340,455579,2287478,108377,11906,,,,
,Before 1980,,,,,,,,,
,７０－７９年,1707336,211402,1169099,274465,52370,,,,
,1981-1990,,,,,,,,,
,８０－８９年,2257023,167653,767136,795383,526851,,,,
,1991-2000,,,,,,,,,
,９０－９９年,1180085,63505,563918,209320,343342,,,,
,2001-2010,,,,,,,,,
,１００－１０９年,985365,52516,499333,223275,210241,,,,
,2011-2020,,,,,,,,,
,１００－１０４年,523958,34370,285508,113258,90822,,,,
,2011-2015,,,,,,,,,
,１０５－１０９年,461407,18146,213825,110017,119419,,,,
,2016-2020,,,,,,,,,
,按建築結構分,,,,,,,,,
,Type of Building of Housing Units,,,,,,,,,
,總計,8993149,950655,5286964,1610820,1144710,,,,
,Grand Total,,,,,,,,,
,鋼骨造,172321,37239,53196,9283,72603,,,,
,Steel and Concrete,,,,,,,,,
,鋼筋混泥土造,6060440,154145,3235349,1598839,1072107,,,,
,Reinforced Concrete,,,,,,,,,
,磚造,2354829,458652,1894143,2034,0,,,,
,Brick,,,,,,,,,
,鋼鐵規格造,221534,158414,62456,664,0,,,,
,Steel Specifications,,,,,,,,,
,木竹土石造或其他,184025,142205,41820,0,0,,,,
,"Wood, Bamboo, Stone or Others",,,,,,,,,
