,單位：宅,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表９２ 空閒住宅之樓地板面積,,Table 92 Total Floor Area of Vacant Housing Units,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,
,,總 計,未滿３０平方公尺,３０－未滿６０平方公尺,６０－未滿９０平方公尺,９０－未滿１２０平方公尺,,１２０－未滿１５０平方公尺,１５０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,
,,,,,,,,,,,,,
,,Grand total,Under 30square meters,30-under 60square meters,60-under 90square meters,90-under 120square meters,,120-under 150square meters,150-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按縣市別分,,,,,,,,,,,,By County/City
,總計,1662140,93672,283219,428937,315828,,185152,131246,206009,18077,108.2,Grand Total
,北部地區,764567,46444,148290,232006,153552,,71190,42164,64644,6277,97.6,Northern Region
,新北市,294942,11090,60485,104891,62817,,25700,12706,15726,1527,91.9,New Taipei City
,臺北市,142852,16822,30639,40691,30209,,10979,5084,7700,728,86.3,Taipei City
,桃園市,152268,7604,27903,45378,28370,,14473,9583,17303,1654,104,Taoyuan City
,基隆市,42665,2712,9462,15132,9031,,3295,1404,1556,73,84.4,Keelung City
,新竹市,35935,3094,3678,7381,8606,,4597,2951,4878,750,116.1,Hsinchu City
,宜蘭縣,53391,2711,11187,9781,9006,,6408,5476,8138,684,113,Yilan County
,新竹縣,42514,2411,4936,8752,5513,,5738,4960,9343,861,130.1,Hsinchu County
,中部地區,403159,21052,50871,80967,70105,,53478,45595,74462,6629,124.6,Central Region
,臺中市,196193,13423,25988,45193,36575,,24121,17639,30932,2322,115.8,Taichung City
,苗栗縣,37094,1829,4769,7251,5423,,4563,4611,7994,654,129.9,Miaoli County
,彰化縣,81379,3275,9535,13803,12681,,12101,10868,17157,1959,133.80000000000001,Changhua County
,南投縣,36756,1169,4157,6773,6251,,5279,5010,7347,770,132.4,Nantou County
,雲林縣,51737,1356,6422,7947,9175,,7414,7467,11032,924,134,Yunlin County
,南部地區,430590,21147,68984,101985,81241,,54368,38840,59349,4676,113,Southern Region
,臺南市,117583,6796,17534,24249,21585,,17022,11963,17568,866,115.6,Tainan City
,高雄市,189785,8619,33893,53819,37069,,20345,13356,21068,1616,105.2,Kaohsiung City
,嘉義市,21850,1206,3881,4130,4932,,2733,1654,3053,261,111.9,Chiayi City
,嘉義縣,41793,1370,5903,7737,7061,,6288,5041,7370,1023,127.8,Chiayi County
,屏東縣,52142,2860,6877,10662,8879,,7157,6003,8842,862,122,Pingtung County
,澎湖縣,7437,296,896,1388,1715,,823,823,1448,48,124,Penghu County
,東部地區,55889,4465,13799,12354,9800,,5315,3924,5803,429,97.7,Eastern Region
,臺東縣,21074,1355,4761,5206,3237,,2323,1773,2307,112,101.5,Taitung County
,花蓮縣,34815,3110,9038,7148,6563,,2992,2151,3496,317,95.4,Hualien County
,金馬地區,7935,564,1275,1625,1130,,801,723,1751,66,121.1,Kinma Region
,金門縣,7250,519,1109,1453,995,,719,687,1710,58,123.8,Kinmen County
,連江縣,685,45,166,172,135,,82,36,41,8,92.9,Lienchiang County
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhereother than this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census periodfor any other reason.",,,,,,,,,,
