,單位：宅,民國109年,,,,,,,2020,Unit:Housing unit,,,,,
,表９５ 有人經常居住住宅之平均每人居住面積,,Table 95 Average Floor Area Per Person of Occupied Housing Units,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                   Unit:Housing unit,,,,,,,,,,,,
,,總 計,未滿１２平方公尺,１２－未滿１８平方公尺,１８－未滿２４平方公尺,２４－未滿３０平方公尺,３０－未滿３６平方公尺,,３６－未滿４２平方公尺,４２－未滿４８平方公尺,４８－未滿５４平方公尺,５４－未滿６０平方公尺,６０平方公尺以上,平均每人居住面積（平方公尺 / 人）,
,,,,,,,,,,,,,,,
,,Grand total,Under 12squaremeters,12-under 18squaremeters,18-under 24squaremeters,24-under 30squaremeters,30-under 36squaremeters,,36-under 42squaremeters,42-under 48squaremeters,48-under 54squaremeters,54-under 60squaremeters,60 squaremetersand more,Average floorarea per person(square meter/person),
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,按縣市別分,,,,,,,,,,,,,,By County/City
,總計,6895887,141952,447761,737023,790436,694541,,628091,531427,423534,325295,2175827,37.799999999999997,Grand Total
,北部地區,3286564,80012,271847,442560,441882,356285,,295623,241140,181093,135467,840655,33,Northern Region
,新北市,1303213,36390,130899,207336,192730,149800,,108050,91589,61533,42697,282189,29.1,New Taipei City
,臺北市,754585,25319,74290,109834,108181,84197,,68709,51302,40328,29901,162524,29.3,Taipei City
,桃園市,685312,9760,41320,77472,85349,67971,,68026,54891,42667,34011,203845,38.799999999999997,Taoyuan City
,基隆市,124236,2356,8302,15742,15958,13732,,12799,9258,7272,4888,33929,33.6,Keelung City
,新竹市,137935,1998,5758,11972,15450,15160,,13405,11256,9081,8359,45496,39.299999999999997,Hsinchu City
,宜蘭縣,122779,1902,4426,7784,9426,10296,,10295,9552,9372,7072,52654,45,Yilan County
,新竹縣,158504,2287,6852,12420,14788,15129,,14339,13292,10840,8539,60018,40.700000000000003,Hsinchu County
,中部地區,1568281,27182,73911,125624,146319,148813,,140930,126080,104345,84310,590767,41.8,Central Region
,臺中市,813500,12040,41888,76649,88743,85002,,77415,66742,52707,42411,269903,38.700000000000003,Taichung City
,苗栗縣,145723,2176,5389,9351,10942,11500,,11808,11570,10311,8557,64119,47.2,Miaoli County
,彰化縣,313698,7277,15147,22007,26346,29677,,27863,25947,21526,16862,121046,42.8,Changhua County
,南投縣,130056,2321,4929,7811,9174,9814,,10400,9588,8658,6898,60463,47.9,Nantou County
,雲林縣,165304,3368,6558,9806,11114,12820,,13444,12233,11143,9582,75236,46.2,Yunlin County
,南部地區,1884688,29944,92509,157022,189109,176145,,178775,152615,127939,97451,683179,43.1,Southern Region
,臺南市,561453,8046,23031,40212,48624,51923,,53436,48758,40401,31945,215077,45.7,Tainan City
,高雄市,866006,13463,49980,87519,104247,86402,,86623,68970,55405,40356,273041,40.200000000000003,Kaohsiung City
,嘉義市,77911,1493,3401,5410,6315,7132,,6687,5717,6207,4146,31403,42.6,Chiayi City
,嘉義縣,131034,2683,5302,7509,9740,10283,,10459,10065,8637,6834,59522,45.1,Chiayi County
,屏東縣,226329,3937,9785,14931,18723,18667,,19707,17466,15780,12651,94682,46.5,Pingtung County
,澎湖縣,21955,322,1010,1441,1460,1738,,1863,1639,1509,1519,9454,44.4,Penghu County
,東部地區,139230,4496,8669,10606,11822,11854,,11288,10445,9064,7021,53965,38,Eastern Region
,臺東縣,54099,1561,2949,3633,3929,4483,,4332,3825,3753,2862,22772,39.299999999999997,Taitung County
,花蓮縣,85131,2935,5720,6973,7893,7371,,6956,6620,5311,4159,31193,37.200000000000003,Hualien County
,金馬地區,17124,318,825,1211,1304,1444,,1475,1147,1093,1046,7261,40.299999999999997,Kinma Region
,金門縣,14928,203,649,1000,1081,1218,,1276,1009,955,932,6605,40.700000000000003,Kinmen County
,連江縣,2196,115,176,211,223,226,,199,138,138,114,656,36.9,Lienchiang County
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,,,2020,Unit:Housing unit,,,,,
,表９５ 有人經常居住住宅之平均每人居住面積（續）,,Table 95 Average Floor Area Per Person of Occupied Housing Units(Cont.),,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                   Unit:Housing unit,,,,,,,,,,,,
