,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 南投縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 南投縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,南投縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 Nantou County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Nantou County,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,南投縣,205600,157208,25018,23374,,,
,Nantou County,,,,,,,
,南投市,46512,35832,4957,5723,,,
,Nantou City,,,,,,,
,埔里鎮,32774,28857,2266,1651,,,
,Puli Township,,,,,,,
,草屯鎮,47250,29987,6307,10956,,,
,Caotun Township,,,,,,,
,竹山鎮,19809,16430,1672,1707,,,
,Zhushan Township,,,,,,,
,集集鎮,4231,3147,857,227,,,
,Jiji Township,,,,,,,
,名間鄉,14806,9585,4044,1177,,,
,Mingjian Township,,,,,,,
,鹿谷鄉,5536,4555,643,338,,,
,Lugu Township,,,,,,,
,中寮鄉,4803,2712,1567,524,,,
,Zhongliao Township,,,,,,,
,魚池鄉,5536,4948,424,164,,,
,Yuchi Township,,,,,,,
,國姓鄉,6338,4898,895,545,,,
,Guoxing Township,,,,,,,
,水里鄉,6011,5226,644,141,,,
,Shuili Township,,,,,,,
,信義鄉,6307,5852,357,98,,,
,Xinyi Township,,,,,,,
,仁愛鄉,5687,5179,385,123,,,
,Ren'ai Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 南投縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４ 南投縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４,南投縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）
,Table 14 Nantou County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Nantou County,0
,Civilian Resident Population Aged 15 Years and Over(Cont.1),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,南投縣,115536,87631,13238,14667,,,
,Nantou County,,,,,,,
,南投市,25610,19465,2475,3670,,,
,Nantou City,,,,,,,
,埔里鎮,18202,15966,1355,881,,,
,Puli Township,,,,,,,
,草屯鎮,25999,15834,3366,6799,,,
,Caotun Township,,,,,,,
,竹山鎮,11255,9147,996,1112,,,
,Zhushan Township,,,,,,,
,集集鎮,2354,1819,407,128,,,
,Jiji Township,,,,,,,
,名間鄉,8848,5884,2175,789,,,
,Mingjian Township,,,,,,,
,鹿谷鄉,3331,2751,361,219,,,
,Lugu Township,,,,,,,
,中寮鄉,2859,1702,819,338,,,
,Zhongliao Township,,,,,,,
,魚池鄉,3028,2701,215,112,,,
,Yuchi Township,,,,,,,
,國姓鄉,3913,3056,446,411,,,
,Guoxing Township,,,,,,,
,水里鄉,3510,3140,302,68,,,
,Shuili Township,,,,,,,
,信義鄉,3480,3256,154,70,,,
,Xinyi Township,,,,,,,
,仁愛鄉,3147,2910,167,70,,,
,Ren'ai Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 南投縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,表１４ 南投縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,表１４,南投縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）
,Table 14 Nantou County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Nantou County,0
,Civilian Resident Population Aged 15 Years and Over(End),,,(3)女性,,,,
,(3)女性 (3)Female,,,(3)Female,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,南投縣,90064,69577,11780,8707,,,
,Nantou County,,,,,,,
,南投市,20902,16367,2482,2053,,,
,Nantou City,,,,,,,
,埔里鎮,14572,12891,911,770,,,
,Puli Township,,,,,,,
,草屯鎮,21251,14153,2941,4157,,,
,Caotun Township,,,,,,,
,竹山鎮,8554,7283,676,595,,,
,Zhushan Township,,,,,,,
,集集鎮,1877,1328,450,99,,,
,Jiji Township,,,,,,,
,名間鄉,5958,3701,1869,388,,,
,Mingjian Township,,,,,,,
,鹿谷鄉,2205,1804,282,119,,,
,Lugu Township,,,,,,,
,中寮鄉,1944,1010,748,186,,,
,Zhongliao Township,,,,,,,
,魚池鄉,2508,2247,209,52,,,
,Yuchi Township,,,,,,,
