,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 南投縣普通住戶之戶內人口數,,Table 32 Nantou County Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 南投縣普通住戶之戶內人口數,表３２,南投縣,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Nantou County Number of Persons of Ordinary Households,Table 32,Nantou County,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,南投縣,152910,43903,42744,27855,,20173,9131,9104,2.7,Nantou County
,南投市,33603,8337,9330,6888,,4960,2001,2087,2.9,Nantou City
,埔里鎮,24433,6991,6894,4461,,3327,1288,1472,2.7,Puli Township
,草屯鎮,31543,8001,8348,5880,,5038,2346,1930,2.8,Caotun Township
,竹山鎮,16360,4816,4796,2933,,2022,994,799,2.6,Zhushan Township
,集集鎮,3574,1156,1100,648,,356,182,132,2.4,Jiji Township
,名間鄉,10372,2656,2813,1805,,1450,732,916,2.9,Mingjian Township
,鹿谷鄉,5433,2167,1679,861,,388,186,152,2.2000000000000002,Lugu Township
,中寮鄉,3952,1512,1034,581,,383,229,213,2.4,Zhongliao Township
,魚池鄉,4571,1626,1264,801,,461,180,239,2.5,Yuchi Township
,國姓鄉,5240,1962,1482,823,,501,238,234,2.4,Guoxing Township
,水里鄉,5664,2146,1845,801,,491,237,144,2.2000000000000002,Shuili Township
,信義鄉,4319,1328,1202,761,,444,225,359,2.6,Xinyi Township
,仁愛鄉,3846,1205,957,612,,352,293,427,2.9,Ren'ai Township
