,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 南投縣住宅使用情形,,Table 37 Nantou County Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 南投縣住宅使用情形,表３７,南投縣,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Nantou County Housing Usage Status,Table 37,Nantou County,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,南投縣,173230,130056,43174,,11717,6418,25039,Nantou County,,,,,
,南投市,37712,29514,8198,,1584,1159,5455,Nantou City,,,,,
,埔里鎮,28601,21055,7546,,1732,781,5033,Puli Township,,,,,
,草屯鎮,34037,28106,5931,,1496,1684,2751,Caotun Township,,,,,
,竹山鎮,20274,14353,5921,,1483,783,3655,Zhushan Township,,,,,
,集集鎮,3716,2805,911,,228,59,624,Jiji Township,,,,,
,名間鄉,13235,9534,3701,,1082,873,1746,Mingjian Township,,,,,
,鹿谷鄉,5655,3882,1773,,909,134,730,Lugu Township,,,,,
,中寮鄉,4438,3217,1221,,440,155,626,Zhongliao Township,,,,,
,魚池鄉,4673,3131,1542,,377,346,819,Yuchi Township,,,,,
,國姓鄉,6102,4026,2076,,536,79,1461,Guoxing Township,,,,,
,水里鄉,6490,4374,2116,,768,252,1096,Shuili Township,,,,,
,信義鄉,4156,3129,1027,,475,44,508,Xinyi Township,,,,,
,仁愛鄉,4141,2930,1211,,607,69,535,Ren'ai Township,,,,,
