,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 南投縣住宅之竣工年份,,Table 38 Nantou County Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 南投縣住宅之竣工年份,表３８,南投縣,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Nantou County Completion Year of Construction of Housing Units,Table 38,Nantou County,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,南投縣,173230,72226,29272,36916,,20302,14514,9108,5406,Nantou County,,
,南投市,37712,14309,5957,9343,,4733,3370,1756,1614,Nantou City,,
,埔里鎮,28601,10250,5567,6377,,4042,2365,1543,822,Puli Township,,
,草屯鎮,34037,11833,6500,8539,,3243,3922,3157,765,Caotun Township,,
,竹山鎮,20274,9464,2994,3824,,2651,1341,531,810,Zhushan Township,,
,集集鎮,3716,1527,480,725,,829,155,118,37,Jiji Township,,
,名間鄉,13235,6422,2527,2868,,885,533,299,234,Mingjian Township,,
,鹿谷鄉,5655,2684,940,1020,,549,462,274,188,Lugu Township,,
,中寮鄉,4438,2164,560,575,,797,342,214,128,Zhongliao Township,,
,魚池鄉,4673,1950,762,662,,671,628,348,280,Yuchi Township,,
,國姓鄉,6102,3147,857,999,,719,380,201,179,Guoxing Township,,
,水里鄉,6490,3757,1006,923,,481,323,220,103,Shuili Township,,
,信義鄉,4156,2483,571,504,,280,318,214,104,Xinyi Township,,
,仁愛鄉,4141,2236,551,557,,422,375,233,142,Ren'ai Township,,
