,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 南投縣住宅之建築類型,,,,,表４０ 住宅之建築類型,表４０ 南投縣住宅之建築類型,表４０,南投縣,住宅之建築類型
,Table 40 Nantou County Type of Building,,,,,Table 40 Type of Building,Table 40 Nantou County Type of Building,Table 40,Nantou County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,
,By Township/City/District,,,,,,,,,
,南投縣,173230,40623,123294,6435,2878,,,,
,Nantou County,,,,,,,,,
,南投市,37712,7871,27297,1490,1054,,,,
,Nantou City,,,,,,,,,
,埔里鎮,28601,5731,20765,1561,544,,,,
,Puli Township,,,,,,,,,
,草屯鎮,34037,7791,22713,2760,773,,,,
,Caotun Township,,,,,,,,,
,竹山鎮,20274,3230,16539,462,43,,,,
,Zhushan Township,,,,,,,,,
,集集鎮,3716,906,2767,0,43,,,,
,Jiji Township,,,,,,,,,
,名間鄉,13235,4887,8042,101,205,,,,
,Mingjian Township,,,,,,,,,
,鹿谷鄉,5655,831,4749,42,33,,,,
,Lugu Township,,,,,,,,,
,中寮鄉,4438,1546,2882,0,10,,,,
,Zhongliao Township,,,,,,,,,
,魚池鄉,4673,2036,2565,11,61,,,,
,Yuchi Township,,,,,,,,,
,國姓鄉,6102,2277,3810,0,15,,,,
,Guoxing Township,,,,,,,,,
,水里鄉,6490,1189,5258,0,43,,,,
,Shuili Township,,,,,,,,,
,信義鄉,4156,1106,2996,0,54,,,,
,Xinyi Township,,,,,,,,,
,仁愛鄉,4141,1222,2911,8,0,,,,
,Ren'ai Township,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 南投縣住宅之建築類型（續）,,,,,表４０ 住宅之建築類型,表４０ 南投縣住宅之建築類型,表４０,南投縣,住宅之建築類型
,Table 40 Nantou County Type of Building(Cont.),,,,,Table 40 Type of Building,Table 40 Nantou County Type of Building,Table 40,Nantou County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按樓地板面積分,,,,,,,,,
,By Total Floor Area,,,,,,,,,
,總計,173230,40623,123294,6435,2878,,,,
,Grand Total,,,,,,,,,
,未滿６０平方公尺,15071,6933,7391,458,289,,,,
,Under 60 Square Meters,,,,,,,,,
,６０－未滿１２０平方公尺,53063,15943,32099,3729,1292,,,,
,60-Under 120 Square Meters,,,,,,,,,
,１２０－未滿１８０平方公尺,56029,9934,44161,1233,701,,,,
,120-Under 180 Square Meters,,,,,,,,,
,１８０－未滿３００平方公尺,44029,7040,35629,845,515,,,,
,180-Under 300 Square Meters,,,,,,,,,
,３００平方公尺以上,5038,773,4014,170,81,,,,
,300 Square Meters and More,,,,,,,,,
,按竣工年份分,,,,,,,,,
,By Completion Year of Construction,,,,,,,,,
,總計,173230,40623,123294,6435,2878,,,,
,Grand Total,,,,,,,,,
,６９年以前,72226,21530,49999,9,688,,,,
,Before 1980,,,,,,,,,
,７０－７９年,29272,5641,23414,67,150,,,,
,1981-1990,,,,,,,,,
,８０－８９年,36916,5359,24498,5091,1968,,,,
,1991-2000,,,,,,,,,
,９０－９９年,20302,3855,15822,619,6,,,,
,2001-2010,,,,,,,,,
,１００－１０９年,14514,4238,9561,649,66,,,,
,2011-2020,,,,,,,,,
,１００－１０４年,9108,2939,5714,442,13,,,,
,2011-2015,,,,,,,,,
,１０５－１０９年,5406,1299,3847,207,53,,,,
,2016-2020,,,,,,,,,
