,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表４２ 南投縣空閒住宅之樓地板面積,,Table 42 Nantou County Total Floor Area of Vacant Housing Units,,,,,表４２ 空閒住宅之樓地板面積,表４２ 南投縣空閒住宅之樓地板面積,表４２,南投縣,空閒住宅之樓地板面積
,,,,,,,,Table 42 Total Floor Area of Vacant Housing Units,Table 42 Nantou County Total Floor Area of Vacant Housing Units,Table 42,Nantou County,Total Floor Area of Vacant Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,南投縣,36756,5326,13024,,10289,7347,770,132.4,Nantou County,,
,南投市,7039,1155,2243,,2094,1354,193,132.19999999999999,Nantou City,,
,埔里鎮,6765,613,2650,,2029,1374,99,136.1,Puli Township,,
,草屯鎮,4247,484,1518,,1354,797,94,131.4,Caotun Township,,
,竹山鎮,5138,826,1906,,1277,1046,83,130,Zhushan Township,,
,集集鎮,852,101,240,,311,188,12,140.1,Jiji Township,,
,名間鄉,2828,360,809,,780,756,123,151.4,Mingjian Township,,
,鹿谷鄉,1639,264,617,,327,389,42,133,Lugu Township,,
,中寮鄉,1066,160,443,,270,181,12,125.5,Zhongliao Township,,
,魚池鄉,1196,191,367,,278,341,19,137.80000000000001,Yuchi Township,,
,國姓鄉,1997,228,760,,648,330,31,129.69999999999999,Guoxing Township,,
,水里鄉,1864,379,614,,507,323,41,126.5,Shuili Township,,
,信義鄉,983,216,412,,214,127,14,114.6,Xinyi Township,,
,仁愛鄉,1142,349,445,,200,141,7,101.1,Ren'ai Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other than   this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,
