,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 南投縣有人經常居住住宅之居住人數,,Table 44 Nantou County Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 南投縣有人經常居住住宅之居住人數,表４４,南投縣,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Nantou County Number of Persons of Occupied Housing Units,Table 44,Nantou County,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,南投縣,130056,31938,35948,24075,,18264,8942,10889,3.2,Nantou County,,,
,南投市,29514,6454,8316,6121,,4556,1913,2154,3.2,Nantou City,,,
,埔里鎮,21055,5140,5656,3809,,2944,1470,2036,3.1,Puli Township,,,
,草屯鎮,28106,6054,7171,5376,,4783,2266,2456,3.2,Caotun Township,,,
,竹山鎮,14353,3687,4221,2679,,1810,1005,951,3,Zhushan Township,,,
,集集鎮,2805,828,863,490,,314,164,146,3.1,Jiji Township,,,
,名間鄉,9534,2226,2632,1609,,1352,721,994,3.1,Mingjian Township,,,
,鹿谷鄉,3882,1291,1241,641,,283,181,245,3,Lugu Township,,,
,中寮鄉,3217,919,776,522,,396,228,376,3,Zhongliao Township,,,
,魚池鄉,3131,970,877,546,,362,151,225,3.6,Yuchi Township,,,
,國姓鄉,4026,1186,1176,683,,419,249,313,3.1,Guoxing Township,,,
,水里鄉,4374,1461,1438,658,,410,208,199,2.9,Shuili Township,,,
,信義鄉,3129,919,821,496,,321,177,395,3.6,Xinyi Township,,,
,仁愛鄉,2930,803,760,445,,314,209,399,3.8,Ren'ai Township,,,
