,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 南投縣有人經常居住住宅之房廳數,,Table 45 Nantou County Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 南投縣有人經常居住住宅之房廳數,表４５,南投縣,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Nantou County Number of Rooms of Occupied Housing Units,Table 45,Nantou County,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,南投縣,130056,613,8376,10781,,29961,32578,47747,5.0999999999999996,Nantou County,,,
,南投市,29514,27,1534,2296,,6629,7740,11288,5,Nantou City,,,
,埔里鎮,21055,115,1074,1683,,4619,5184,8380,5.2,Puli Township,,,
,草屯鎮,28106,136,1208,1775,,6144,8710,10133,5.0999999999999996,Caotun Township,,,
,竹山鎮,14353,68,1103,1042,,2816,3006,6318,5.3,Zhushan Township,,,
,集集鎮,2805,5,181,249,,814,694,862,4.9000000000000004,Jiji Township,,,
,名間鄉,9534,58,629,1036,,2551,2182,3078,4.9000000000000004,Mingjian Township,,,
,鹿谷鄉,3882,13,403,440,,908,794,1324,5,Lugu Township,,,
,中寮鄉,3217,34,219,279,,775,865,1045,4.9000000000000004,Zhongliao Township,,,
,魚池鄉,3131,57,243,346,,718,674,1093,5,Yuchi Township,,,
,國姓鄉,4026,8,459,342,,869,797,1551,5.0999999999999996,Guoxing Township,,,
,水里鄉,4374,34,522,500,,1164,952,1202,4.5999999999999996,Shuili Township,,,
,信義鄉,3129,15,399,367,,998,519,831,4.5999999999999996,Xinyi Township,,,
,仁愛鄉,2930,43,402,426,,956,461,642,4.3,Ren'ai Township,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 南投縣有人經常居住住宅之房廳數（續）,,Table 45 Nantou County Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 南投縣有人經常居住住宅之房廳數（續）,表４５,南投縣,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 Nantou County Number of Rooms of Occupied Housing Units(Cont.),Table 45,Nantou County,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,130056,613,8376,10781,,29961,32578,47747,5.0999999999999996,Grand Total,,,
,未滿６０平方公尺,9033,501,3638,1782,,2797,296,19,2.9,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,38050,57,3077,4288,,12063,9823,8742,4.5999999999999996,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,43526,43,1134,2547,,8014,13392,18396,5.3,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,35303,12,511,2138,,6858,8520,17264,5.5,180-Under 300 Square Meters,,,
,３００平方公尺以上,4144,-,16,26,,229,547,3326,7.4,300 Square Meters and More,,,
