,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 南投縣有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 Nantou County Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 南投縣有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,南投縣,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Nantou County Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Nantou County,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,南投縣,130056,11177,45709,32773,40397,1.6,,23761,42496,45478,18321,0.7,Nantou County
,南投市,29514,1959,11297,7769,8489,1.6,,4589,10770,10653,3502,0.7,Nantou City
,埔里鎮,21055,1920,7213,5148,6774,1.7,,4001,6794,6755,3505,0.7,Puli Township
,草屯鎮,28106,2540,10839,6834,7893,1.6,,4647,9289,9788,4382,0.7,Caotun Township
,竹山鎮,14353,1065,4448,3662,5178,1.8,,2431,4573,5185,2164,0.7,Zhushan Township
,集集鎮,2805,185,832,781,1007,1.6,,469,794,1053,489,0.7,Jiji Township
,名間鄉,9534,1016,3470,2382,2666,1.6,,2061,2989,3311,1173,0.6,Mingjian Township
,鹿谷鄉,3882,246,1028,1103,1505,1.6,,580,1044,1597,661,0.7,Lugu Township
,中寮鄉,3217,366,1127,700,1024,1.6,,682,1093,977,465,0.6,Zhongliao Township
,魚池鄉,3131,220,1029,785,1097,1.4,,624,887,1251,369,0.5,Yuchi Township
,國姓鄉,4026,337,1189,1068,1432,1.6,,843,1287,1347,549,0.6,Guoxing Township
,水里鄉,4374,283,1305,1190,1596,1.6,,658,1284,1748,684,0.6,Shuili Township
,信義鄉,3129,485,969,710,965,1.3,,1031,898,973,227,0.4,Xinyi Township
,仁愛鄉,2930,555,963,641,771,1.1000000000000001,,1145,794,840,151,0.3,Ren'ai Township
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 南投縣有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,,"Table 46 Nantou County Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６ 南投縣有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６,南投縣,有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）
,,,Occupied Housing Units(Cont.),,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Nantou County Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Nantou County,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,,,,By Total Floor Area
,總計,130056,11177,45709,32773,40397,1.6,,23761,42496,45478,18321,0.7,Grand Total
,未滿６０平方公尺,9033,1224,3130,2727,1952,1.3,,1851,2797,4050,335,0.5,Under 60 Square Meters
,６０－未滿１２０平方公尺,38050,3305,13001,9587,12157,1.6,,7990,12755,12388,4917,0.6,60-Under 120 Square Meters
,１２０－未滿１８０平方公尺,43526,3384,15574,10762,13806,1.6,,7313,14812,14849,6552,0.7,120-Under 180 Square Meters
,１８０－未滿３００平方公尺,35303,2660,12338,8840,11465,1.7,,5476,10772,13030,6025,0.7,180-Under 300 Square Meters
,３００平方公尺以上,4144,604,1666,857,1017,1.4,,1131,1360,1161,492,0.6,300 Square Meters and More
