,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 嘉義市５歲以上常住人口遷徙情形,,Table 20 Chiayi City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 嘉義市５歲以上常住人口遷徙情形,表２０,嘉義市,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Chiayi City Migration Status of the Resident Population,Table 20,Chiayi City,Migration Status of the Resident Population
,,,,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,嘉義市,238466,196514,21765,,4253,14984,950,Chiayi City
,東 區,112630,93043,9670,,2178,7311,428,East District
,西 區,125836,103471,12095,,2075,7673,522,West District
,男,112874,93910,9931,,1910,6756,367,Male
,東 區,52850,44342,4445,,912,3018,133,East District
,西 區,60024,49568,5486,,998,3738,234,West District
,女,125592,102604,11834,,2343,8228,583,Female
,東 區,59780,48701,5225,,1266,4293,295,East District
,西 區,65812,53903,6609,,1077,3935,288,West District
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
