,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 嘉義市普通住戶之家戶型態,,Table 33 Chiayi City Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 嘉義市普通住戶之家戶型態,表３３,嘉義市,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Chiayi City Family Household Type of Ordinary Households,Table 33,Chiayi City,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,嘉義市,93084,48906,16694,24843,7369,13533,,9004,3225,1304,24890,5755,4607,1148,Chiayi City
,東 區,44881,23834,8948,11604,3282,6351,,4191,1533,627,11868,2828,2202,626,East District
,西 區,48203,25072,7746,13239,4087,7182,,4813,1692,677,13022,2927,2405,522,West District
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,93084,48906,16694,24843,7369,13533,,9004,3225,1304,24890,5755,4607,1148,Grand Total
,未滿２５歲,1166,134,8,98,28,0,,0,0,0,840,192,71,121,Under 25 Years
,２５－３４歲,4736,1977,284,1379,314,322,,219,79,24,2007,430,307,123,25-34 Years
,３５－４４歲,13880,8963,899,6725,1339,1196,,1060,125,11,3193,528,484,44,35-44 Years
,４５－５４歲,21191,13426,3054,8242,2130,1912,,1372,507,33,4908,945,885,60,45-54 Years
,５５－６４歲,23974,13332,5642,5847,1843,3439,,2284,764,391,5921,1282,1133,149,55-64 Years
,６５歲以上,28137,11074,6807,2552,1715,6664,,4069,1750,845,8021,2378,1727,651,65 Years and Over
,男,51021,30310,11737,16391,2182,7594,,5291,1738,565,10248,2869,2402,467,Male
,未滿２５歲,626,25,0,25,0,0,,0,0,0,460,141,71,70,Under 25 Years
,２５－３４歲,2501,1084,188,781,115,231,,145,62,24,957,229,180,49,25-34 Years
,３５－４４歲,7435,4836,480,4001,355,824,,743,70,11,1452,323,315,8,35-44 Years
,４５－５４歲,11628,8040,1917,5388,735,1237,,893,322,22,1877,474,445,29,45-54 Years
,５５－６４歲,13644,8627,3939,4189,499,1803,,1154,472,177,2547,667,582,85,55-64 Years
,６５歲以上,15187,7698,5213,2007,478,3499,,2356,812,331,2955,1035,809,226,65 Years and Over
,女,42063,18596,4957,8452,5187,5939,,3713,1487,739,14642,2886,2205,681,Female
,未滿２５歲,540,109,8,73,28,0,,0,0,0,380,51,0,51,Under 25 Years
,２５－３４歲,2235,893,96,598,199,91,,74,17,0,1050,201,127,74,25-34 Years
,３５－４４歲,6445,4127,419,2724,984,372,,317,55,0,1741,205,169,36,35-44 Years
,４５－５４歲,9563,5386,1137,2854,1395,675,,479,185,11,3031,471,440,31,45-54 Years
,５５－６４歲,10330,4705,1703,1658,1344,1636,,1130,292,214,3374,615,551,64,55-64 Years
,６５歲以上,12950,3376,1594,545,1237,3165,,1713,938,514,5066,1343,918,425,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
