,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 嘉義市普通住戶之住宅所有權屬,,Table 34 Chiayi City Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 嘉義市普通住戶之住宅所有權屬,表３４,嘉義市,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Chiayi City Home Ownership of Ordinary Households,Table 34,Chiayi City,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,嘉義市,92936,73271,5088,,10022,4555,Chiayi City,,,,,,,,
,東 區,44799,36012,2341,,4617,1829,East District,,,,,,,,
,西 區,48137,37259,2747,,5405,2726,West District,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
