,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 嘉義市住宅使用情形,,Table 37 Chiayi City Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 嘉義市住宅使用情形,表３７,嘉義市,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Chiayi City Housing Usage Status,Table 37,Chiayi City,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,嘉義市,106368,77911,28457,,6116,6607,15734,Chiayi City,,,,,
,東 區,50663,37075,13588,,3288,3369,6931,East District,,,,,
,西 區,55705,40836,14869,,2828,3238,8803,West District,,,,,
