,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 嘉義市住宅之竣工年份,,Table 38 Chiayi City Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 嘉義市住宅之竣工年份,表３８,嘉義市,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Chiayi City Completion Year of Construction of Housing Units,Table 38,Chiayi City,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,嘉義市,106368,34653,19580,31966,,12366,7803,5457,2346,Chiayi City,,
,東 區,50663,18834,9798,13930,,4676,3425,2112,1313,East District,,
,西 區,55705,15819,9782,18036,,7690,4378,3345,1033,West District,,
