,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表４１ 嘉義市空閒住宅之竣工年份,,Table 41 Chiayi City Completion Year of Vacant Housing Units,,,,,,表４１ 空閒住宅之竣工年份,表４１ 嘉義市空閒住宅之竣工年份,表４１,嘉義市,空閒住宅之竣工年份
,,,,,,,,,Table 41 Completion Year of Vacant Housing Units,Table 41 Chiayi City Completion Year of Vacant Housing Units,Table 41,Chiayi City,Completion Year of Vacant Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,
,,總 計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,嘉義市,21850,7456,3126,7553,,2008,1707,936,771,Chiayi City,,
,東 區,10219,4130,1592,2948,,712,837,319,518,East District,,
,西 區,11631,3326,1534,4605,,1296,870,617,253,West District,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、已售、  修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other thanthis house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,,
