,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 嘉義市有人經常居住住宅之使用情形,,Table 43 Chiayi City Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 嘉義市有人經常居住住宅之使用情形,表４３,嘉義市,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Chiayi City Housing Usage of Occupied Housing Units,Table 43,Chiayi City,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,嘉義市,77911,72137,5774,,151,5615,8,Chiayi City,,,,,,,
,東 區,37075,34458,2617,,8,2601,8,East District,,,,,,,
,西 區,40836,37679,3157,,143,3014,0,West District,,,,,,,
