,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 嘉義市有人經常居住住宅之居住人數,,Table 44 Chiayi City Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 嘉義市有人經常居住住宅之居住人數,表４４,嘉義市,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Chiayi City Number of Persons of Occupied Housing Units,Table 44,Chiayi City,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,嘉義市,77911,18452,22919,15703,,10946,5049,4842,3.2,Chiayi City,,,
,東 區,37075,8818,11498,7545,,4994,2294,1926,3.1,East District,,,
,西 區,40836,9634,11421,8158,,5952,2755,2916,3.2,West District,,,
