,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 嘉義市有人經常居住住宅之房廳數,,Table 45 Chiayi City Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 嘉義市有人經常居住住宅之房廳數,表４５,嘉義市,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Chiayi City Number of Rooms of Occupied Housing Units,Table 45,Chiayi City,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,嘉義市,77911,994,4157,8222,,22719,20901,20918,4.7,Chiayi City,,,
,東 區,37075,573,1863,3981,,10485,10186,9987,4.7,East District,,,
,西 區,40836,421,2294,4241,,12234,10715,10931,4.7,West District,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,77911,994,4157,8222,,22719,20901,20918,4.7,Grand Total,,,
,未滿６０平方公尺,6855,863,2239,1695,,1913,145,-,2.7,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,30857,71,1284,4406,,12667,9048,3381,4.3,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,23679,60,419,1237,,5109,7964,8890,5.2,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,15021,-,215,862,,2969,3529,7446,5.5,180-Under 300 Square Meters,,,
,３００平方公尺以上,1499,-,-,22,,61,215,1201,7.5,300 Square Meters and More,,,
