,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 嘉義市有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 Chiayi City Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 嘉義市有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,嘉義市,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Chiayi City Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Chiayi City,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,嘉義市,77911,6667,29495,19984,21765,1.5,,11129,25412,28438,12932,0.7,Chiayi City
,東 區,37075,2691,13968,9801,10615,1.5,,5080,12000,14065,5930,0.7,East District
,西 區,40836,3976,15527,10183,11150,1.5,,6049,13412,14373,7002,0.7,West District
,按樓地板面積分,,,,,,,,,,,,,By Total Floor Area
,總計,77911,6667,29495,19984,21765,1.5,,11129,25412,28438,12932,0.7,Grand Total
,未滿６０平方公尺,6855,1116,2481,1901,1357,1.2,,1451,2017,3201,186,0.5,Under 60 Square Meters
,６０－未滿１２０平方公尺,30857,2495,11696,7900,8766,1.5,,5263,10457,10088,5049,0.6,60-Under 120 Square Meters
,１２０－未滿１８０平方公尺,23679,1763,9120,5949,6847,1.5,,2885,8161,8534,4099,0.7,120-Under 180 Square Meters
,１８０－未滿３００平方公尺,15021,1090,5530,3874,4527,1.6,,1312,4343,6002,3364,0.8,180-Under 300 Square Meters
,３００平方公尺以上,1499,203,668,360,268,1.5,,218,434,613,234,0.8,300 Square Meters and More
