,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 嘉義縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 嘉義縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,嘉義縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 Chiayi County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Chiayi County,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,嘉義縣,217764,145230,28558,43976,,,
,Chiayi County,,,,,,,
,太保市,17738,10824,3251,3663,,,
,Taibao City,,,,,,,
,朴子市,18733,14676,2511,1546,,,
,Puzi City,,,,,,,
,布袋鎮,9169,7592,691,886,,,
,Budai Township,,,,,,,
,大林鎮,14764,10332,1768,2664,,,
,Dalin Township,,,,,,,
,民雄鄉,39123,23814,4872,10437,,,
,Minxiong Township,,,,,,,
,溪口鄉,5547,3474,1195,878,,,
,Xikou Township,,,,,,,
,新港鄉,13027,8935,1932,2160,,,
,Xingang Township,,,,,,,
,六腳鄉,7500,5068,1623,809,,,
,Liujiao Township,,,,,,,
,東石鄉,6767,5488,1049,230,,,
,Dongshi Township,,,,,,,
,義竹鄉,5663,3815,456,1392,,,
,Yizhu Township,,,,,,,
,鹿草鄉,4926,3756,609,561,,,
,Lucao Township,,,,,,,
,水上鄉,24923,12451,3497,8975,,,
,Shuishang Township,,,,,,,
,中埔鄉,21014,11888,2741,6385,,,
,Zhongpu Township,,,,,,,
,竹崎鄉,13070,10474,916,1680,,,
,Zhuqi Township,,,,,,,
,梅山鄉,7835,6318,752,765,,,
,Meishan Township,,,,,,,
,番路鄉,4673,3119,638,916,,,
,Fanlu Township,,,,,,,
,大埔鄉,554,520,13,21,,,
,Dapu Township,,,,,,,
,阿里山鄉,2738,2686,44,8,,,
,Alishan Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 嘉義縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４ 嘉義縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４,嘉義縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）
,Table 14 Chiayi County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Chiayi County,0
,Civilian Resident Population Aged 15 Years and Over(Cont.1),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,嘉義縣,124511,85720,16092,22699,,,
,Chiayi County,,,,,,,
,太保市,9907,6304,1622,1981,,,
,Taibao City,,,,,,,
,朴子市,10219,7978,1394,847,,,
,Puzi City,,,,,,,
,布袋鎮,5698,4680,445,573,,,
,Budai Township,,,,,,,
,大林鎮,8311,5896,904,1511,,,
,Dalin Township,,,,,,,
,民雄鄉,21686,13901,2867,4918,,,
,Minxiong Township,,,,,,,
,溪口鄉,3227,2125,607,495,,,
,Xikou Township,,,,,,,
,新港鄉,7551,5350,1001,1200,,,
,Xingang Township,,,,,,,
,六腳鄉,4606,3216,884,506,,,
,Liujiao Township,,,,,,,
,東石鄉,3788,3060,562,166,,,
,Dongshi Township,,,,,,,
,義竹鄉,3314,2305,211,798,,,
,Yizhu Township,,,,,,,
,鹿草鄉,2998,2295,387,316,,,
,Lucao Township,,,,,,,
,水上鄉,14040,7499,2171,4370,,,
,Shuishang Township,,,,,,,
,中埔鄉,11977,7064,1664,3249,,,
,Zhongpu Township,,,,,,,
,竹崎鄉,7962,6530,561,871,,,
,Zhuqi Township,,,,,,,
,梅山鄉,4653,3877,373,403,,,
,Meishan Township,,,,,,,
,番路鄉,2711,1828,404,479,,,
,Fanlu Township,,,,,,,
,大埔鄉,348,328,8,12,,,
,Dapu Township,,,,,,,
,阿里山鄉,1515,1484,27,4,,,
,Alishan Township,,,,,,,
