,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 嘉義縣５歲以上常住人口遷徙情形,,Table 20 Chiayi County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 嘉義縣５歲以上常住人口遷徙情形,表２０,嘉義縣,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Chiayi County Migration Status of the Resident Population,Table 20,Chiayi County,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,嘉義縣,434050,359668,25647,,12144,34411,2180,Chiayi County
,太保市,33377,27537,2181,,1554,2024,81,Taibao City
,朴子市,38039,30102,3859,,1683,2233,162,Puzi City
,布袋鎮,18082,16116,1217,,243,464,42,Budai Township
,大林鎮,34949,23965,2094,,1294,7257,339,Dalin Township
,民雄鄉,79510,55985,7679,,2296,12743,807,Minxiong Township
,溪口鄉,10943,9953,319,,350,271,50,Xikou Township
,新港鄉,23738,21836,797,,311,766,28,Xingang Township
,六腳鄉,15507,14414,477,,353,230,33,Liujiao Township
,東石鄉,13968,12886,383,,320,305,74,Dongshi Township
,義竹鄉,11351,10091,547,,195,487,31,Yizhu Township
,鹿草鄉,12780,10216,329,,728,1472,35,Lucao Township
,水上鄉,49136,42294,2122,,1428,3114,178,Shuishang Township
,中埔鄉,40889,36447,2085,,540,1651,166,Zhongpu Township
,竹崎鄉,23710,22292,558,,280,512,68,Zhuqi Township
,梅山鄉,14302,13288,551,,136,304,23,Meishan Township
,番路鄉,8601,7782,217,,308,245,49,Fanlu Township
,大埔鄉,1267,1160,45,,6,50,6,Dapu Township
,阿里山鄉,3901,3304,187,,119,283,8,Alishan Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 嘉義縣５歲以上常住人口遷徙情形（續１）,,Table 20 Chiayi County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續１）,表２０ 嘉義縣５歲以上常住人口遷徙情形（續１）,表２０,嘉義縣,５歲以上常住人口遷徙情形（續１）
,,,Aged 5 Years and Over(Cont.1),,Table 20 Migration Status of the Resident Population,Table 20 Chiayi County Migration Status of the Resident Population,Table 20,Chiayi County,Migration Status of the Resident Population
,(2)男性,,(2)Male,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,嘉義縣,221161,183496,12802,,6088,17964,811,Chiayi County
,太保市,16268,13560,894,,778,1014,22,Taibao City
,朴子市,18051,14796,1810,,724,687,34,Puzi City
,布袋鎮,9268,8348,573,,136,207,4,Budai Township
,大林鎮,18401,12146,1176,,672,4244,163,Dalin Township
,民雄鄉,40004,28160,3937,,1027,6474,406,Minxiong Township
,溪口鄉,5699,5200,179,,145,161,14,Xikou Township
,新港鄉,12160,11247,416,,161,328,8,Xingang Township
,六腳鄉,7771,7319,203,,177,72,0,Liujiao Township
,東石鄉,7103,6592,175,,144,177,15,Dongshi Township
,義竹鄉,5711,5107,271,,95,233,5,Yizhu Township
,鹿草鄉,7935,5805,201,,631,1288,10,Lucao Township
,水上鄉,24994,21470,1150,,761,1554,59,Shuishang Township
,中埔鄉,20726,18618,1035,,199,846,28,Zhongpu Township
,竹崎鄉,12589,11893,293,,135,259,9,Zhuqi Township
,梅山鄉,7306,6870,253,,47,121,15,Meishan Township
,番路鄉,4478,4040,109,,190,123,16,Fanlu Township
,大埔鄉,654,603,21,,5,22,3,Dapu Township
,阿里山鄉,2043,1722,106,,61,154,0,Alishan Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 嘉義縣５歲以上常住人口遷徙情形（續完）,,Table 20 Chiayi County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續２）,表２０ 嘉義縣５歲以上常住人口遷徙情形（續２）,表２０,嘉義縣,５歲以上常住人口遷徙情形（續２）
,,,Aged 5 Years and Over(End),,Table 20 Migration Status of the Resident Population,Table 20 Chiayi County Migration Status of the Resident Population,Table 20,Chiayi County,Migration Status of the Resident Population
,(3)女性,,(3)Female,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,嘉義縣,212889,176172,12845,,6056,16447,1369,Chiayi County
,太保市,17109,13977,1287,,776,1010,59,Taibao City
,朴子市,19988,15306,2049,,959,1546,128,Puzi City
,布袋鎮,8814,7768,644,,107,257,38,Budai Township
,大林鎮,16548,11819,918,,622,3013,176,Dalin Township
,民雄鄉,39506,27825,3742,,1269,6269,401,Minxiong Township
,溪口鄉,5244,4753,140,,205,110,36,Xikou Township
,新港鄉,11578,10589,381,,150,438,20,Xingang Township
,六腳鄉,7736,7095,274,,176,158,33,Liujiao Township
,東石鄉,6865,6294,208,,176,128,59,Dongshi Township
,義竹鄉,5640,4984,276,,100,254,26,Yizhu Township
,鹿草鄉,4845,4411,128,,97,184,25,Lucao Township
,水上鄉,24142,20824,972,,667,1560,119,Shuishang Township
,中埔鄉,20163,17829,1050,,341,805,138,Zhongpu Township
,竹崎鄉,11121,10399,265,,145,253,59,Zhuqi Township
,梅山鄉,6996,6418,298,,89,183,8,Meishan Township
,番路鄉,4123,3742,108,,118,122,33,Fanlu Township
,大埔鄉,613,557,24,,1,28,3,Dapu Township
,阿里山鄉,1858,1582,81,,58,129,8,Alishan Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
