,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 嘉義縣普通住戶之戶內人口數,,Table 32 Chiayi County Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 嘉義縣普通住戶之戶內人口數,表３２,嘉義縣,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Chiayi County Number of Persons of Ordinary Households,Table 32,Chiayi County,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,嘉義縣,159998,45713,45481,29371,,20086,10218,9129,2.7,Chiayi County
,太保市,12362,2849,3392,2744,,2008,806,563,2.8,Taibao City
,朴子市,14895,4563,4295,2487,,1844,986,720,2.6,Puzi City
,布袋鎮,7776,2584,2326,1284,,884,366,332,2.5,Budai Township
,大林鎮,10927,3097,3193,1931,,1318,664,724,2.7,Dalin Township
,民雄鄉,27976,8539,7104,5639,,3596,1720,1378,2.7,Minxiong Township
,溪口鄉,3657,905,975,655,,426,321,375,3,Xikou Township
,新港鄉,9269,2618,2619,1708,,1078,668,578,2.7,Xingang Township
,六腳鄉,6392,1903,1977,1152,,623,333,404,2.6,Liujiao Township
,東石鄉,6085,1957,2069,995,,527,336,201,2.4,Dongshi Township
,義竹鄉,4678,1373,1489,765,,504,265,282,2.6,Yizhu Township
,鹿草鄉,3846,1087,1149,608,,481,243,278,2.7,Lucao Township
,水上鄉,16946,4109,4614,3288,,2637,1241,1057,2.9,Shuishang Township
,中埔鄉,14912,3711,4306,2968,,1871,1022,1034,2.8,Zhongpu Township
,竹崎鄉,9286,3048,2627,1348,,1050,601,612,2.6,Zhuqi Township
,梅山鄉,5770,1692,1759,986,,677,353,303,2.6,Meishan Township
,番路鄉,3106,831,962,519,,378,200,216,2.7,Fanlu Township
,大埔鄉,691,353,222,66,,30,14,6,1.9,Dapu Township
,阿里山鄉,1424,494,403,228,,154,79,66,2.6,Alishan Township
