,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 嘉義縣普通住戶之家戶型態,,Table 33 Chiayi County Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 嘉義縣普通住戶之家戶型態,表３３,嘉義縣,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Chiayi County Family Household Type of Ordinary Households,Table 33,Chiayi County,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,嘉義縣,159998,71943,27311,34292,10340,30630,,18807,8970,2853,45713,11712,9337,2375,Chiayi County
,太保市,12362,6895,1721,4454,720,1782,,1078,485,219,2849,836,666,170,Taibao City
,朴子市,14895,7127,2753,3570,804,2355,,1396,705,254,4563,850,659,191,Puzi City
,布袋鎮,7776,3088,1392,1256,440,1528,,792,593,143,2584,576,452,124,Budai Township
,大林鎮,10927,4968,1974,2225,769,2063,,1357,503,203,3097,799,660,139,Dalin Township
,民雄鄉,27976,12895,3966,6860,2069,4855,,3079,1311,465,8539,1687,1245,442,Minxiong Township
,溪口鄉,3657,1498,636,650,212,913,,664,180,69,905,341,302,39,Xikou Township
,新港鄉,9269,3900,1792,1651,457,2144,,1358,580,206,2618,607,425,182,Xingang Township
,六腳鄉,6392,2537,1052,995,490,1333,,750,436,147,1903,619,473,146,Liujiao Township
,東石鄉,6085,2538,1317,857,364,1027,,523,398,106,1957,563,445,118,Dongshi Township
,義竹鄉,4678,1882,988,625,269,1034,,571,327,136,1373,389,273,116,Yizhu Township
,鹿草鄉,3846,1475,777,513,185,949,,591,282,76,1087,335,249,86,Lucao Township
,水上鄉,16946,8005,2614,4208,1183,3509,,2275,978,256,4109,1323,1083,240,Shuishang Township
,中埔鄉,14912,7149,2610,3285,1254,2923,,2022,693,208,3711,1129,1005,124,Zhongpu Township
,竹崎鄉,9286,3381,1514,1319,548,2023,,1112,741,170,3048,834,700,134,Zhuqi Township
,梅山鄉,5770,2437,1187,954,296,1191,,667,422,102,1692,450,377,73,Meishan Township
,番路鄉,3106,1354,603,566,185,703,,425,213,65,831,218,191,27,Fanlu Township
,大埔鄉,691,265,166,72,27,45,,22,15,8,353,28,20,8,Dapu Township
,阿里山鄉,1424,549,249,232,68,253,,125,108,20,494,128,112,16,Alishan Township
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 嘉義縣普通住戶之家戶型態（續）,,Table 33 Chiayi County Family Household Type of Ordinary Households(Cont.),,表３３ 普通住戶之家戶型態（續）,表３３ 嘉義縣普通住戶之家戶型態（續）,表３３,嘉義縣,普通住戶之家戶型態（續）,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households(Cont.),Table 33 Chiayi County Family Household Type of Ordinary Households(Cont.),Table 33,Chiayi County,Family Household Type of Ordinary Households(Cont.),,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,159998,71943,27311,34292,10340,30630,,18807,8970,2853,45713,11712,9337,2375,Grand Total
,未滿２５歲,2039,328,36,204,88,72,,30,1,41,1442,197,166,31,Under 25 Years
,２５－３４歲,6918,2946,488,2027,431,562,,378,101,83,2603,807,673,134,25-34 Years
,３５－４４歲,17860,10652,1151,7631,1870,1645,,1325,295,25,4539,1024,860,164,35-44 Years
,４５－５４歲,30801,17182,3772,10635,2775,4027,,2757,1162,108,7959,1633,1479,154,45-54 Years
,５５－６４歲,42345,20093,8183,9307,2603,8227,,5205,2257,765,11483,2542,2261,281,55-64 Years
,６５歲以上,60035,20742,13681,4488,2573,16097,,9112,5154,1831,17687,5509,3898,1611,65 Years and Over
,男,104145,53571,23227,26076,4268,20066,,12746,5901,1419,23205,7303,6191,1112,Male
,未滿２５歲,1354,193,14,135,44,41,,22,1,18,999,121,100,21,Under 25 Years
,２５－３４歲,4624,1942,356,1316,270,446,,287,86,73,1630,606,514,92,25-34 Years
,３５－４４歲,11750,7004,800,5372,832,1257,,1027,216,14,2712,777,669,108,35-44 Years
,４５－５４歲,20497,12046,2939,7837,1270,3193,,2223,939,31,4179,1079,1014,65,45-54 Years
,５５－６４歲,29122,15446,6810,7524,1112,5436,,3490,1655,291,6474,1766,1596,170,55-64 Years
,６５歲以上,36798,16940,12308,3892,740,9693,,5697,3004,992,7211,2954,2298,656,65 Years and Over
,女,55853,18372,4084,8216,6072,10564,,6061,3069,1434,22508,4409,3146,1263,Female
,未滿２５歲,685,135,22,69,44,31,,8,0,23,443,76,66,10,Under 25 Years
,２５－３４歲,2294,1004,132,711,161,116,,91,15,10,973,201,159,42,25-34 Years
,３５－４４歲,6110,3648,351,2259,1038,388,,298,79,11,1827,247,191,56,35-44 Years
,４５－５４歲,10304,5136,833,2798,1505,834,,534,223,77,3780,554,465,89,45-54 Years
,５５－６４歲,13223,4647,1373,1783,1491,2791,,1715,602,474,5009,776,665,111,55-64 Years
,６５歲以上,23237,3802,1373,596,1833,6404,,3415,2150,839,10476,2555,1600,955,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
