,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 嘉義縣住宅使用情形,,Table 37 Chiayi County Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 嘉義縣住宅使用情形,表３７,嘉義縣,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Chiayi County Housing Usage Status,Table 37,Chiayi County,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,嘉義縣,182774,131034,51740,,16332,9947,25461,Chiayi County,,,,,
,太保市,14028,9679,4349,,1363,1187,1799,Taibao City,,,,,
,朴子市,16198,11479,4719,,1331,1561,1827,Puzi City,,,,,
,布袋鎮,9416,6264,3152,,1132,547,1473,Budai Township,,,,,
,大林鎮,12757,9254,3503,,1073,468,1962,Dalin Township,,,,,
,民雄鄉,29363,23325,6038,,1156,977,3905,Minxiong Township,,,,,
,溪口鄉,5069,3225,1844,,752,187,905,Xikou Township,,,,,
,新港鄉,9382,6705,2677,,782,652,1243,Xingang Township,,,,,
,六腳鄉,7707,5394,2313,,915,224,1174,Liujiao Township,,,,,
,東石鄉,8211,5311,2900,,956,314,1630,Dongshi Township,,,,,
,義竹鄉,6119,4197,1922,,672,361,889,Yizhu Township,,,,,
,鹿草鄉,5085,3422,1663,,445,156,1062,Lucao Township,,,,,
,水上鄉,18420,14054,4366,,1076,1263,2027,Shuishang Township,,,,,
,中埔鄉,16134,12579,3555,,1012,777,1766,Zhongpu Township,,,,,
,竹崎鄉,11471,7488,3983,,1980,619,1384,Zhuqi Township,,,,,
,梅山鄉,6291,4450,1841,,669,393,779,Meishan Township,,,,,
,番路鄉,4335,2391,1944,,498,209,1237,Fanlu Township,,,,,
,大埔鄉,1076,543,533,,336,26,171,Dapu Township,,,,,
,阿里山鄉,1712,1274,438,,184,26,228,Alishan Township,,,,,
