,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 嘉義縣住宅之竣工年份,,Table 38 Chiayi County Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 嘉義縣住宅之竣工年份,表３８,嘉義縣,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Chiayi County Completion Year of Construction of Housing Units,Table 38,Chiayi County,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,嘉義縣,182774,82984,30620,34106,,22940,12124,5396,6728,Chiayi County,,
,太保市,14028,3318,1266,4132,,3324,1988,934,1054,Taibao City,,
,朴子市,16198,5428,2773,3079,,3829,1089,662,427,Puzi City,,
,布袋鎮,9416,4390,2848,1353,,678,147,69,78,Budai Township,,
,大林鎮,12757,6595,2405,2507,,445,805,205,600,Dalin Township,,
,民雄鄉,29363,9811,5001,7635,,3691,3225,1134,2091,Minxiong Township,,
,溪口鄉,5069,3508,568,733,,129,131,54,77,Xikou Township,,
,新港鄉,9382,3977,1669,1621,,1454,661,301,360,Xingang Township,,
,六腳鄉,7707,4888,1524,973,,176,146,97,49,Liujiao Township,,
,東石鄉,8211,5360,1367,580,,747,157,121,36,Dongshi Township,,
,義竹鄉,6119,3443,995,486,,983,212,71,141,Yizhu Township,,
,鹿草鄉,5085,2941,869,524,,596,155,86,69,Lucao Township,,
,水上鄉,18420,8521,3503,4275,,988,1133,438,695,Shuishang Township,,
,中埔鄉,16134,7940,2249,2851,,2373,721,256,465,Zhongpu Township,,
,竹崎鄉,11471,6198,1862,1381,,1479,551,288,263,Zhuqi Township,,
,梅山鄉,6291,3096,1096,642,,1165,292,151,141,Meishan Township,,
,番路鄉,4335,1900,473,1041,,485,436,303,133,Fanlu Township,,
,大埔鄉,1076,503,83,252,,167,71,60,11,Dapu Township,,
,阿里山鄉,1712,1167,69,41,,231,204,166,38,Alishan Township,,
