,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表４２ 嘉義縣空閒住宅之樓地板面積,,Table 42 Chiayi County Total Floor Area of Vacant Housing Units,,,,,表４２ 空閒住宅之樓地板面積,表４２ 嘉義縣空閒住宅之樓地板面積,表４２,嘉義縣,空閒住宅之樓地板面積
,,,,,,,,Table 42 Total Floor Area of Vacant Housing Units,Table 42 Chiayi County Total Floor Area of Vacant Housing Units,Table 42,Chiayi County,Total Floor Area of Vacant Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,嘉義縣,41793,7273,14798,,11329,7370,1023,127.8,Chiayi County,,
,太保市,3162,125,1774,,726,509,28,122.2,Taibao City,,
,朴子市,3158,407,1156,,738,727,130,138.9,Puzi City,,
,布袋鎮,2605,463,818,,822,485,17,126.9,Budai Township,,
,大林鎮,3035,617,899,,1036,383,100,125.8,Dalin Township,,
,民雄鄉,5061,518,1971,,1771,742,59,126.8,Minxiong Township,,
,溪口鄉,1657,212,350,,454,522,119,163.5,Xikou Township,,
,新港鄉,2025,317,721,,435,507,45,134.30000000000001,Xingang Township,,
,六腳鄉,2089,336,583,,522,520,128,152.4,Liujiao Township,,
,東石鄉,2586,467,989,,551,542,37,126.5,Dongshi Township,,
,義竹鄉,1561,320,584,,370,223,64,123.5,Yizhu Township,,
,鹿草鄉,1507,297,517,,289,362,42,133.19999999999999,Lucao Township,,
,水上鄉,3103,663,922,,1055,444,19,122.1,Shuishang Township,,
,中埔鄉,2778,317,856,,985,514,106,141,Zhongpu Township,,
,竹崎鄉,3364,1006,1402,,578,316,62,102.2,Zhuqi Township,,
,梅山鄉,1448,266,542,,351,265,24,126.1,Meishan Township,,
,番路鄉,1735,649,364,,490,215,17,106.5,Fanlu Township,,
,大埔鄉,507,135,214,,96,46,16,107.1,Dapu Township,,
,阿里山鄉,412,158,136,,60,48,10,103,Alishan Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other than   this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,
