,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 嘉義縣有人經常居住住宅之居住人數,,Table 44 Chiayi County Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 嘉義縣有人經常居住住宅之居住人數,表４４,嘉義縣,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Chiayi County Number of Persons of Occupied Housing Units,Table 44,Chiayi County,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,嘉義縣,131034,31874,37110,25307,,17289,9328,10126,3.3,Chiayi County,,,
,太保市,9679,2032,2599,2146,,1613,678,611,3.6,Taibao City,,,
,朴子市,11479,2954,3228,2022,,1589,907,779,3.4,Puzi City,,,
,布袋鎮,6264,1780,1883,1053,,732,360,456,3,Budai Township,,,
,大林鎮,9254,2277,2664,1700,,1227,631,755,3.2,Dalin Township,,,
,民雄鄉,23325,5643,5985,5156,,3277,1732,1532,3.2,Minxiong Township,,,
,溪口鄉,3225,777,854,578,,400,267,349,3.4,Xikou Township,,,
,新港鄉,6705,1691,1931,1252,,863,454,514,3.7,Xingang Township,,,
,六腳鄉,5394,1462,1673,994,,529,304,432,3.1,Liujiao Township,,,
,東石鄉,5311,1508,1795,929,,448,329,302,2.8,Dongshi Township,,,
,義竹鄉,4197,1041,1369,703,,510,264,310,2.9,Yizhu Township,,,
,鹿草鄉,3422,796,1035,597,,428,251,315,3.1,Lucao Township,,,
,水上鄉,14054,2820,3867,2957,,2141,1067,1202,3.5,Shuishang Township,,,
,中埔鄉,12579,2831,3537,2543,,1636,956,1076,3.3,Zhongpu Township,,,
,竹崎鄉,7488,1970,2037,1186,,871,544,880,3.2,Zhuqi Township,,,
,梅山鄉,4450,1160,1383,787,,530,309,281,3.4,Meishan Township,,,
,番路鄉,2391,582,716,405,,308,167,213,3.6,Fanlu Township,,,
,大埔鄉,543,207,179,74,,40,23,20,2.4,Dapu Township,,,
,阿里山鄉,1274,343,375,225,,147,85,99,2.8,Alishan Township,,,
