,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 嘉義縣有人經常居住住宅之房廳數,,Table 45 Chiayi County Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 嘉義縣有人經常居住住宅之房廳數,表４５,嘉義縣,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Chiayi County Number of Rooms of Occupied Housing Units,Table 45,Chiayi County,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,嘉義縣,131034,1119,8224,12419,,36146,31872,41254,4.9000000000000004,Chiayi County,,,
,太保市,9679,82,320,717,,2033,2815,3712,5.0999999999999996,Taibao City,,,
,朴子市,11479,270,727,993,,3195,2377,3917,4.9000000000000004,Puzi City,,,
,布袋鎮,6264,32,505,494,,1615,1583,2035,4.9000000000000004,Budai Township,,,
,大林鎮,9254,63,509,1076,,2851,2542,2213,4.7,Dalin Township,,,
,民雄鄉,23325,129,833,1746,,7185,6682,6750,4.9000000000000004,Minxiong Township,,,
,溪口鄉,3225,31,233,339,,718,584,1320,5.3,Xikou Township,,,
,新港鄉,6705,57,443,611,,1430,1538,2626,5.0999999999999996,Xingang Township,,,
,六腳鄉,5394,36,357,437,,1166,1322,2076,5.2,Liujiao Township,,,
,東石鄉,5311,25,419,607,,1513,1443,1304,4.7,Dongshi Township,,,
,義竹鄉,4197,15,470,482,,856,955,1419,4.9000000000000004,Yizhu Township,,,
,鹿草鄉,3422,12,282,395,,858,567,1308,5.0999999999999996,Lucao Township,,,
,水上鄉,14054,70,654,974,,4067,3270,5019,5.0999999999999996,Shuishang Township,,,
,中埔鄉,12579,76,573,1288,,3810,3005,3827,4.8,Zhongpu Township,,,
,竹崎鄉,7488,157,867,1201,,2470,1351,1442,4.3,Zhuqi Township,,,
,梅山鄉,4450,22,435,497,,1183,1082,1231,4.7,Meishan Township,,,
,番路鄉,2391,19,257,246,,684,450,735,4.7,Fanlu Township,,,
,大埔鄉,543,2,102,87,,140,75,137,4.4000000000000004,Dapu Township,,,
,阿里山鄉,1274,21,238,229,,372,231,183,4,Alishan Township,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 嘉義縣有人經常居住住宅之房廳數（續）,,Table 45 Chiayi County Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 嘉義縣有人經常居住住宅之房廳數（續）,表４５,嘉義縣,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 Chiayi County Number of Rooms of Occupied Housing Units(Cont.),Table 45,Chiayi County,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,131034,1119,8224,12419,,36146,31872,41254,4.9000000000000004,Grand Total,,,
,未滿６０平方公尺,10235,695,3848,1920,,3267,455,50,2.9,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,38603,338,2936,5086,,14728,7663,7852,4.4000000000000004,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,48825,67,957,2985,,11416,16173,17227,5.0999999999999996,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,29382,19,483,2338,,6486,6985,13071,5.4,180-Under 300 Square Meters,,,
,３００平方公尺以上,3989,-,-,90,,249,596,3054,7,300 Square Meters and More,,,
