,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 基隆市５歲以上常住人口遷徙情形,,Table 20 Keelung City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 基隆市５歲以上常住人口遷徙情形,表２０,基隆市,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Keelung City Migration Status of the Resident Population,Table 20,Keelung City,Migration Status of the Resident Population
,,,,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,基隆市,351173,290707,27625,,12382,18447,2012,Keelung City
,中正區,54406,42228,4941,,1914,4678,645,Zhongzheng District
,七堵區,55197,47481,3860,,977,2660,219,Qidu District
,暖暖區,37164,30907,2742,,1229,2191,95,Nuannuan District
,仁愛區,37367,32619,1930,,1553,961,304,Ren'ai District
,中山區,41496,36029,2439,,1352,1573,103,Zhongshan District
,安樂區,77122,62647,7217,,2602,4282,374,Anle District
,信義區,48421,38796,4496,,2755,2102,272,Xinyi District
,男,173399,143587,13647,,6027,9379,759,Male
,中正區,28344,21734,2479,,954,2847,330,Zhongzheng District
,七堵區,27988,24182,2020,,483,1267,36,Qidu District
,暖暖區,18212,15282,1455,,535,910,30,Nuannuan District
,仁愛區,18138,15862,851,,833,421,171,Ren'ai District
,中山區,20534,17805,1425,,613,678,13,Zhongshan District
,安樂區,36692,29800,3452,,1221,2110,109,Anle District
,信義區,23491,18922,1965,,1388,1146,70,Xinyi District
,女,177774,147120,13978,,6355,9068,1253,Female
,中正區,26062,20494,2462,,960,1831,315,Zhongzheng District
,七堵區,27209,23299,1840,,494,1393,183,Qidu District
,暖暖區,18952,15625,1287,,694,1281,65,Nuannuan District
,仁愛區,19229,16757,1079,,720,540,133,Ren'ai District
,中山區,20962,18224,1014,,739,895,90,Zhongshan District
,安樂區,40430,32847,3765,,1381,2172,265,Anle District
,信義區,24930,19874,2531,,1367,956,202,Xinyi District
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
