,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 基隆市普通住戶之戶內人口數,,Table 32 Keelung City Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 基隆市普通住戶之戶內人口數,表３２,基隆市,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Keelung City Number of Persons of Ordinary Households,Table 32,Keelung City,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,基隆市,139874,41667,37546,29423,,20689,6818,3731,2.5,Keelung City
,中正區,20978,6906,5698,4245,,2776,874,479,2.5,Zhongzheng District
,七堵區,21809,6562,5562,4456,,3390,1024,815,2.6,Qidu District
,暖暖區,14987,4191,4173,3222,,2263,675,463,2.6,Nuannuan District
,仁愛區,15614,4970,4463,3013,,1929,828,411,2.5,Ren'ai District
,中山區,16327,4908,4328,3279,,2398,918,496,2.6,Zhongshan District
,安樂區,31429,9413,8281,6856,,4680,1593,606,2.5,Anle District
,信義區,18730,4717,5041,4352,,3253,906,461,2.7,Xinyi District
