,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 基隆市普通住戶之住宅所有權屬,,Table 34 Keelung City Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 基隆市普通住戶之住宅所有權屬,表３４,基隆市,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Keelung City Home Ownership of Ordinary Households,Table 34,Keelung City,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,基隆市,139727,118257,8383,,9333,3754,Keelung City,,,,,,,,
,中正區,20965,17101,1624,,1636,604,Zhongzheng District,,,,,,,,
,七堵區,21761,18070,1554,,1687,450,Qidu District,,,,,,,,
,暖暖區,14978,12740,939,,1021,278,Nuannuan District,,,,,,,,
,仁愛區,15574,13260,678,,1183,453,Ren'ai District,,,,,,,,
,中山區,16319,14154,768,,717,680,Zhongshan District,,,,,,,,
,安樂區,31429,26394,1833,,2266,936,Anle District,,,,,,,,
,信義區,18701,16538,987,,823,353,Xinyi District,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
