,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 基隆市住宅之竣工年份,,Table 38 Keelung City Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 基隆市住宅之竣工年份,表３８,基隆市,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Keelung City Completion Year of Construction of Housing Units,Table 38,Keelung City,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,基隆市,171191,53190,28824,65178,,13782,10217,3468,6749,Keelung City,,
,中正區,28800,8960,5414,9505,,3819,1102,503,599,Zhongzheng District,,
,七堵區,22684,8749,4053,6413,,1952,1517,821,696,Qidu District,,
,暖暖區,18044,3880,2526,8953,,1515,1170,711,459,Nuannuan District,,
,仁愛區,19293,9792,4001,3619,,1708,173,112,61,Ren'ai District,,
,中山區,20735,6901,3395,8904,,1256,279,157,122,Zhongshan District,,
,安樂區,37311,9045,5126,18467,,1577,3096,450,2646,Anle District,,
,信義區,24324,5863,4309,9317,,1955,2880,714,2166,Xinyi District,,
