,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表４１ 基隆市空閒住宅之竣工年份,,Table 41 Keelung City Completion Year of Vacant Housing Units,,,,,,表４１ 空閒住宅之竣工年份,表４１ 基隆市空閒住宅之竣工年份,表４１,基隆市,空閒住宅之竣工年份
,,,,,,,,,Table 41 Completion Year of Vacant Housing Units,Table 41 Keelung City Completion Year of Vacant Housing Units,Table 41,Keelung City,Completion Year of Vacant Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,
,,總 計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,基隆市,42665,13275,6973,14513,,3914,3990,1499,2491,Keelung City,,
,中正區,8566,2488,1501,2949,,1076,552,209,343,Zhongzheng District,,
,七堵區,4057,1557,737,745,,466,552,359,193,Qidu District,,
,暖暖區,4484,859,645,2095,,338,547,274,273,Nuannuan District,,
,仁愛區,4130,2109,880,533,,518,90,60,30,Ren'ai District,,
,中山區,6066,2205,838,2242,,620,161,88,73,Zhongshan District,,
,安樂區,8564,2201,1219,3724,,393,1027,265,762,Anle District,,
,信義區,6798,1856,1153,2225,,503,1061,244,817,Xinyi District,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、已售、  修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other thanthis house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,,
