,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表４２ 基隆市空閒住宅之樓地板面積,,Table 42 Keelung City Total Floor Area of Vacant Housing Units,,,,,表４２ 空閒住宅之樓地板面積,表４２ 基隆市空閒住宅之樓地板面積,表４２,基隆市,空閒住宅之樓地板面積
,,,,,,,,Table 42 Total Floor Area of Vacant Housing Units,Table 42 Keelung City Total Floor Area of Vacant Housing Units,Table 42,Keelung City,Total Floor Area of Vacant Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,基隆市,42665,12174,24163,,4699,1556,73,84.4,Keelung City,,
,中正區,8566,3197,4279,,731,348,11,77.400000000000006,Zhongzheng District,,
,七堵區,4057,874,2338,,618,197,30,95.3,Qidu District,,
,暖暖區,4484,1031,2888,,460,83,22,85.1,Nuannuan District,,
,仁愛區,4130,1224,2415,,341,140,10,82.6,Ren'ai District,,
,中山區,6066,1497,3639,,580,350,0,87.1,Zhongshan District,,
,安樂區,8564,2650,4721,,973,220,0,81.400000000000006,Anle District,,
,信義區,6798,1701,3883,,996,218,0,88.5,Xinyi District,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other than   this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,
