,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 基隆市有人經常居住住宅之居住人數,,Table 44 Keelung City Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 基隆市有人經常居住住宅之居住人數,表４４,基隆市,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Keelung City Number of Persons of Occupied Housing Units,Table 44,Keelung City,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,基隆市,124236,33911,33613,26917,,18693,6709,4393,2.9,Keelung City,,,
,中正區,19726,5891,5424,4095,,2598,961,757,2.6,Zhongzheng District,,,
,七堵區,18098,4930,4711,3807,,2843,962,845,3.1,Qidu District,,,
,暖暖區,13231,3496,3704,2928,,1981,645,477,2.9,Nuannuan District,,,
,仁愛區,13759,4147,3884,2734,,1788,698,508,2.8,Ren'ai District,,,
,中山區,14491,4116,3826,2919,,2169,935,526,2.9,Zhongshan District,,,
,安樂區,27666,7377,7382,6236,,4363,1567,741,2.9,Anle District,,,
,信義區,17265,3954,4682,4198,,2951,941,539,2.9,Xinyi District,,,
