,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 宜蘭縣５歲以上常住人口遷徙情形,,Table 20 Yilan County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 宜蘭縣５歲以上常住人口遷徙情形,表２０,宜蘭縣,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Yilan County Migration Status of the Resident Population,Table 20,Yilan County,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,宜蘭縣,400434,323587,25516,,25077,23959,2295,Yilan County
,宜蘭市,90563,70969,7405,,4157,7274,758,Yilan City
,羅東鎮,57006,46357,4122,,4389,1870,268,Luodong Township
,蘇澳鎮,33310,27519,2582,,1179,1862,168,Su'ao Township
,頭城鎮,22748,19443,1681,,592,940,92,Toucheng Township
,礁溪鄉,31613,24876,1715,,1483,3265,274,Jiaoxi Township
,壯圍鄉,20703,17081,885,,1879,776,82,Zhuangwei Township
,員山鄉,28862,23463,1299,,2467,1563,70,Yuanshan Township
,冬山鄉,47435,39837,2814,,3228,1262,294,Dongshan Township
,五結鄉,35536,29634,1549,,2917,1226,210,Wujie Township
,三星鄉,24921,17711,975,,2516,3650,69,Sanxing Township
,大同鄉,3659,3285,190,,121,62,1,Datong Township
,南澳鄉,4078,3412,299,,149,209,9,Nan'ao Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 宜蘭縣５歲以上常住人口遷徙情形（續１）,,Table 20 Yilan County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續１）,表２０ 宜蘭縣５歲以上常住人口遷徙情形（續１）,表２０,宜蘭縣,５歲以上常住人口遷徙情形（續１）
,,,Aged 5 Years and Over(Cont.1),,Table 20 Migration Status of the Resident Population,Table 20 Yilan County Migration Status of the Resident Population,Table 20,Yilan County,Migration Status of the Resident Population
,(2)男性,,(2)Male,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,宜蘭縣,201926,163527,12672,,11906,12812,1009,Yilan County
,宜蘭市,45277,34877,3698,,2103,4208,391,Yilan City
,羅東鎮,27396,22732,1779,,1982,792,111,Luodong Township
,蘇澳鎮,18355,14854,1390,,744,1307,60,Su'ao Township
,頭城鎮,11493,9787,904,,282,487,33,Toucheng Township
,礁溪鄉,15476,12661,746,,527,1421,121,Jiaoxi Township
,壯圍鄉,10404,8762,417,,876,328,21,Zhuangwei Township
,員山鄉,14563,11875,732,,1152,772,32,Yuanshan Township
,冬山鄉,23658,19921,1428,,1529,661,119,Dongshan Township
,五結鄉,17737,14868,762,,1402,612,93,Wujie Township
,三星鄉,13593,9746,561,,1188,2072,26,Sanxing Township
,大同鄉,1923,1738,100,,56,29,0,Datong Township
,南澳鄉,2051,1706,155,,65,123,2,Nan'ao Township
