,,民國109年,,,,,2020,,,,,,
,表３１ 宜蘭縣住戶數、常住人口數及平均每戶人口數,,"Table 31 Yilan County Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 宜蘭縣住戶數、常住人口數及平均每戶人口數,表３１,宜蘭縣,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Yilan County Number of Households, Resident Population and Average",Table 31,Yilan County,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,宜蘭縣,142492,433319,3,141497,,400999,2.8,995,32320,32.5,Yilan County,
,宜蘭市,31898,96098,3,31763,,88686,2.8,135,7412,54.9,Yilan City,
,羅東鎮,22792,60846,2.7,22740,,59555,2.6,52,1291,24.8,Luodong Township,
,蘇澳鎮,12025,37682,3.1,11729,,30877,2.6,296,6805,23,Su'ao Township,
,頭城鎮,8458,25378,3,8323,,24074,2.9,135,1304,9.6999999999999993,Toucheng Township,
,礁溪鄉,11127,33718,3,11100,,31471,2.8,27,2247,83.2,Jiaoxi Township,
,壯圍鄉,6905,22172,3.2,6889,,21857,3.2,16,315,19.7,Zhuangwei Township,
,員山鄉,9842,31218,3.2,9794,,29172,3,48,2046,42.6,Yuanshan Township,
,冬山鄉,16780,52046,3.1,16630,,50016,3,150,2030,13.5,Dongshan Township,
,五結鄉,13489,39141,2.9,13397,,38061,2.8,92,1080,11.7,Wujie Township,
,三星鄉,6541,26466,4,6509,,18852,2.9,32,7614,237.9,Sanxing Township,
,大同鄉,1382,3999,2.9,1379,,3973,2.9,3,26,8.6999999999999993,Datong Township,
,南澳鄉,1253,4555,3.6,1244,,4405,3.5,9,150,16.7,Nan'ao Township,
