,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 宜蘭縣普通住戶之住宅所有權屬,,Table 34 Yilan County Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 宜蘭縣普通住戶之住宅所有權屬,表３４,宜蘭縣,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Yilan County Home Ownership of Ordinary Households,Table 34,Yilan County,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,宜蘭縣,141118,119868,7069,,8387,5794,Yilan County,,,,,,,,
,宜蘭市,31763,26529,1575,,2606,1053,Yilan City,,,,,,,,
,羅東鎮,22511,17793,960,,2239,1519,Luodong Township,,,,,,,,
,蘇澳鎮,11701,9924,757,,583,437,Su'ao Township,,,,,,,,
,頭城鎮,8317,7008,546,,424,339,Toucheng Township,,,,,,,,
,礁溪鄉,11058,9508,641,,568,341,Jiaoxi Township,,,,,,,,
,壯圍鄉,6889,6153,426,,207,103,Zhuangwei Township,,,,,,,,
,員山鄉,9790,8885,376,,373,156,Yuanshan Township,,,,,,,,
,冬山鄉,16595,14458,764,,504,869,Dongshan Township,,,,,,,,
,五結鄉,13397,11673,435,,612,677,Wujie Township,,,,,,,,
,三星鄉,6491,5887,223,,214,167,Sanxing Township,,,,,,,,
,大同鄉,1376,1105,193,,17,61,Datong Township,,,,,,,,
,南澳鄉,1230,945,173,,40,72,Nan'ao Township,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
