,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 宜蘭縣住宅使用情形,,Table 37 Yilan County Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 宜蘭縣住宅使用情形,表３７,宜蘭縣,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Yilan County Housing Usage Status,Table 37,Yilan County,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,宜蘭縣,188788,122779,66009,,15294,12618,38097,Yilan County,,,,,
,宜蘭市,41226,29298,11928,,2792,3202,5934,Yilan City,,,,,
,羅東鎮,27902,18380,9522,,1737,2449,5336,Luodong Township,,,,,
,蘇澳鎮,15854,9539,6315,,827,1200,4288,Su'ao Township,,,,,
,頭城鎮,12094,7531,4563,,1724,480,2359,Toucheng Township,,,,,
,礁溪鄉,19104,9092,10012,,2001,883,7128,Jiaoxi Township,,,,,
,壯圍鄉,8919,6435,2484,,902,493,1089,Zhuangwei Township,,,,,
,員山鄉,12856,8900,3956,,800,676,2480,Yuanshan Township,,,,,
,冬山鄉,21077,14112,6965,,1669,2043,3253,Dongshan Township,,,,,
,五結鄉,17608,11863,5745,,1462,514,3769,Wujie Township,,,,,
,三星鄉,9050,5376,3674,,1109,514,2051,Sanxing Township,,,,,
,大同鄉,1773,1193,580,,172,135,273,Datong Township,,,,,
,南澳鄉,1325,1060,265,,99,29,137,Nan'ao Township,,,,,
