,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表４２ 宜蘭縣空閒住宅之樓地板面積,,Table 42 Yilan County Total Floor Area of Vacant Housing Units,,,,,表４２ 空閒住宅之樓地板面積,表４２ 宜蘭縣空閒住宅之樓地板面積,表４２,宜蘭縣,空閒住宅之樓地板面積
,,,,,,,,Table 42 Total Floor Area of Vacant Housing Units,Table 42 Yilan County Total Floor Area of Vacant Housing Units,Table 42,Yilan County,Total Floor Area of Vacant Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,宜蘭縣,53391,13898,18787,,11884,8138,684,113,Yilan County,,
,宜蘭市,8726,872,3635,,2235,1908,76,129.80000000000001,Yilan City,,
,羅東鎮,7073,1355,3546,,1486,648,38,103.4,Luodong Township,,
,蘇澳鎮,5115,1543,2075,,1106,361,30,96.6,Su'ao Township,,
,頭城鎮,4083,1651,1167,,707,550,8,96.7,Toucheng Township,,
,礁溪鄉,9129,5232,2034,,1100,697,66,79.099999999999994,Jiaoxi Township,,
,壯圍鄉,1991,163,482,,719,532,95,157.80000000000001,Zhuangwei Township,,
,員山鄉,3280,699,912,,911,683,75,131.80000000000001,Yuanshan Township,,
,冬山鄉,4922,840,1690,,1217,1049,126,132.30000000000001,Dongshan Township,,
,五結鄉,5231,787,1928,,1547,877,92,127.8,Wujie Township,,
,三星鄉,3160,595,968,,734,790,73,135.19999999999999,Sanxing Township,,
,大同鄉,445,99,236,,79,27,4,96.3,Datong Township,,
,南澳鄉,236,62,114,,43,16,1,93.5,Nan'ao Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other than   this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,
