,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 宜蘭縣有人經常居住住宅之使用情形,,Table 43 Yilan County Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 宜蘭縣有人經常居住住宅之使用情形,表４３,宜蘭縣,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Yilan County Housing Usage of Occupied Housing Units,Table 43,Yilan County,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,宜蘭縣,122779,114876,7903,,422,7123,358,Yilan County,,,,,,,
,宜蘭市,29298,27249,2049,,13,2024,12,Yilan City,,,,,,,
,羅東鎮,18380,16605,1775,,35,1732,8,Luodong Township,,,,,,,
,蘇澳鎮,9539,9003,536,,45,491,0,Su'ao Township,,,,,,,
,頭城鎮,7531,7249,282,,15,267,0,Toucheng Township,,,,,,,
,礁溪鄉,9092,8621,471,,19,452,0,Jiaoxi Township,,,,,,,
,壯圍鄉,6435,6122,313,,15,289,9,Zhuangwei Township,,,,,,,
,員山鄉,8900,8483,417,,40,371,6,Yuanshan Township,,,,,,,
,冬山鄉,14112,13028,1084,,175,624,285,Dongshan Township,,,,,,,
,五結鄉,11863,11294,569,,25,531,13,Wujie Township,,,,,,,
,三星鄉,5376,5058,318,,31,268,19,Sanxing Township,,,,,,,
,大同鄉,1193,1141,52,,2,45,5,Datong Township,,,,,,,
,南澳鄉,1060,1023,37,,7,29,1,Nan'ao Township,,,,,,,
